so_id,customer_id,branch_id,order_date,delivery_date,order_status,payment_terms,total_order_value,total_gst_amount,grand_total,sales_channel
SO-737202,C0299,CHN001,2019-03-31,2019-04-08,Delivered,Advance,517530,132665.4,650195.4,Dealer Network
SO-968645,C0010,CHN001,2019-08-14,2019-08-16,Delivered,Net 30,320550,88254.00000000001,408804.0,Dealer Network
SO-184791,C0197,AHM001,2021-10-22,2021-10-29,Delivered,Net 45,1648140,456745.20000000007,2104885.2,Online
SO-378647,C0397,AHM001,2023-06-25,2023-07-10,Delivered,Net 30,217420,60225.600000000006,277645.6,Online
SO-150938,C0396,AHM001,2024-11-06,2024-11-08,Delivered,Net 45,132230,36621.40000000001,168851.4,Dealer Network
SO-944599,C0341,DEL001,2024-02-25,2024-03-06,Delivered,Net 45,2197330,610849.4,2808179.4,Dealer Network
SO-682898,C0074,KOL001,2019-12-26,2020-01-06,Cancelled,Net 60,510170,133845.60000000003,644015.6,Counter Sale
SO-337483,C0417,KOL001,2022-10-21,2022-10-29,Delivered,Advance,390450,99571.0,490021.0,Counter Sale
SO-488340,C0163,AHM001,2019-08-16,2019-08-31,Cancelled,Net 45,2802780,784720.4000000001,3587500.4,Field Sales
SO-466114,C0353,DEL001,2019-07-09,2019-07-23,Delivered,Net 60,1316030,358135.4,1674165.4,Counter Sale
SO-182036,C0393,KOL001,2019-07-31,2019-08-01,Delivered,Net 15,1939000,540735.0000000001,2479735.0,Counter Sale
SO-196893,C0455,PUN001,2022-09-03,2022-09-05,Delivered,Advance,3539210,987197.8000000002,4526407.8,Dealer Network
SO-483043,C0105,DEL001,2023-09-13,2023-09-17,Delivered,Net 60,895730,239471.4,1135201.4,Online
SO-718024,C0146,AHM001,2020-10-05,2020-10-10,Delivered,Net 60,3892900,1076682.0,4969582.0,Field Sales
SO-822214,C0049,KOL001,2022-01-19,2022-01-23,Delivered,Net 15,126750,35490.0,162240.0,Field Sales
SO-888500,C0389,AHM001,2019-04-04,2019-04-11,Delivered,Advance,1166230,318666.4,1484896.4,Field Sales
SO-910776,C0446,HYD001,2022-11-20,2022-12-05,Delivered,Advance,56350,10143.0,66493.0,Field Sales
SO-882277,C0026,HYD001,2020-05-24,2020-05-25,Delivered,Net 60,95600,26478.000000000004,122078.0,Counter Sale
SO-628561,C0239,CHN001,2020-10-08,2020-10-21,Delivered,Net 60,741590,205126.20000000004,946716.2,Dealer Network
SO-968887,C0326,KOL001,2021-08-04,2021-08-17,Delivered,Advance,726520,191883.60000000003,918403.6,Field Sales
SO-524580,C0152,CHN001,2021-11-25,2021-12-05,Delivered,Net 15,917650,255037.00000000003,1172687.0,Online
SO-376514,C0153,PUN001,2023-06-24,2023-07-09,Delivered,Net 30,809490,199963.2,1009453.2,Field Sales
SO-234655,C0077,DEL001,2020-09-10,2020-09-15,Cancelled,Net 60,272150,68697.0,340847.0,Counter Sale
SO-765039,C0430,KOL001,2022-07-27,2022-08-06,Delivered,Net 15,3116700,858546.0000000001,3975246.0,Online
SO-251167,C0058,PUN001,2024-10-26,2024-10-28,Delivered,Net 15,491580,120134.4,611714.4,Field Sales
SO-441801,C0112,HYD001,2021-02-07,2021-02-14,Cancelled,Net 45,167030,46120.40000000001,213150.4,Counter Sale
SO-633824,C0184,CHN001,2022-04-25,2022-05-10,Delivered,Net 15,523580,124714.4,648294.4,Online
SO-894042,C0482,KOL001,2020-08-04,2020-08-09,Delivered,Net 60,2792220,781389.6000000001,3573609.6,Counter Sale
SO-970632,C0168,PUN001,2022-08-16,2022-08-29,Delivered,Net 60,2549750,699195.0000000001,3248945.0,Counter Sale
SO-708213,C0066,HYD001,2023-06-04,2023-06-06,Delivered,Net 60,4320,777.6,5097.6,Dealer Network
SO-723200,C0376,DEL001,2024-11-24,2024-11-29,Delivered,Net 30,553220,154089.60000000003,707309.6,Field Sales
SO-906396,C0202,AHM001,2024-06-10,2024-06-21,Cancelled,Net 60,1340450,371006.0,1711456.0,Field Sales
SO-791354,C0427,HYD001,2019-06-24,2019-06-25,Delivered,Net 60,183140,50415.2,233555.2,Field Sales
SO-604184,C0133,AHM001,2023-05-31,2023-06-09,Delivered,Net 15,2595610,723344.8,3318954.8,Counter Sale
SO-319836,C0327,AHM001,2020-05-21,2020-06-02,Cancelled,Net 15,832510,229981.80000000005,1062491.8,Dealer Network
SO-297416,C0233,KOL001,2021-04-03,2021-04-08,Delivered,Net 45,2518040,690567.2000000001,3208607.2,Counter Sale
SO-157081,C0304,DEL001,2021-02-24,2021-03-11,Delivered,Net 60,1999600,529358.0000000001,2528958.0,Field Sales
SO-222518,C0240,HYD001,2021-02-09,2021-02-13,Delivered,Net 30,2871950,801526.0000000001,3673476.0,Dealer Network
SO-378574,C0494,CHN001,2020-06-20,2020-07-01,Delivered,Net 45,1596430,437592.4,2034022.4,Online
SO-121403,C0300,DEL001,2024-11-18,2024-11-28,Delivered,Net 15,84990,15298.2,100288.2,Online
SO-789374,C0356,DEL001,2022-11-29,2022-12-13,Delivered,Net 45,146470,26364.6,172834.6,Counter Sale
SO-668225,C0029,KOL001,2023-12-27,2024-01-10,Delivered,Net 45,1551150,421157.00000000006,1972307.0,Field Sales
SO-756461,C0107,DEL001,2021-08-28,2021-09-03,Delivered,Net 30,1030700,280726.0,1311426.0,Dealer Network
SO-407922,C0326,KOL001,2019-12-03,2019-12-10,Delivered,Advance,163900,45892.00000000001,209792.0,Field Sales
SO-605982,C0486,PUN001,2021-07-21,2021-08-04,Cancelled,Advance,2044430,571207.4000000001,2615637.4,Dealer Network
SO-792764,C0495,AHM001,2020-05-14,2020-05-27,Delivered,Net 45,2619560,732540.8000000002,3352100.8,Dealer Network
SO-644397,C0432,HYD001,2022-02-26,2022-03-07,Delivered,Net 30,2175440,600939.2,2776379.2,Counter Sale
SO-995721,C0315,AHM001,2022-09-13,2022-09-17,Delivered,Net 45,23910,5433.8,29343.8,Dealer Network
SO-133793,C0221,DEL001,2023-04-16,2023-04-17,Delivered,Net 45,626800,162164.00000000003,788964.0,Online
SO-513785,C0270,DEL001,2024-10-23,2024-10-28,Delivered,Net 30,786380,189598.4,975978.4,Dealer Network
SO-887716,C0455,PUN001,2024-07-25,2024-07-27,Delivered,Advance,4346550,1215009.0,5561559.0,Online
SO-332156,C0033,CHN001,2020-03-10,2020-03-23,Delivered,Net 60,545550,145959.0,691509.0,Field Sales
SO-531777,C0078,HYD001,2022-08-22,2022-09-03,Delivered,Net 30,2750110,763424.8,3513534.8,Dealer Network
SO-437871,C0091,PUN001,2022-07-07,2022-07-19,Delivered,Net 45,1316390,367965.20000000007,1684355.2,Online
SO-736045,C0139,AHM001,2020-08-16,2020-08-17,Delivered,Net 15,2572060,716765.8,3288825.8,Dealer Network
SO-442942,C0297,CHN001,2019-10-31,2019-11-12,Delivered,Net 15,2618440,728634.2000000002,3347074.2,Field Sales
SO-126876,C0022,CHN001,2019-05-01,2019-05-14,Delivered,Net 60,303010,77871.80000000002,380881.8000000001,Dealer Network
SO-524960,C0205,CHN001,2020-04-16,2020-04-19,Cancelled,Net 30,1645580,458484.4,2104064.4,Counter Sale
SO-652697,C0485,PUN001,2019-02-20,2019-03-07,Delivered,Net 60,1644550,454944.00000000006,2099494.0,Field Sales
SO-192052,C0342,DEL001,2021-03-22,2021-03-24,Delivered,Net 45,28000,5040.0,33040.0,Dealer Network
SO-916406,C0226,AHM001,2024-07-01,2024-07-11,Delivered,Net 30,198960,54892.8,253852.8,Counter Sale
SO-526833,C0359,HYD001,2022-04-08,2022-04-18,Delivered,Net 45,4167110,1162959.8000000005,5330069.8,Field Sales
SO-994387,C0360,AHM001,2020-05-31,2020-06-06,Delivered,Net 45,3107300,870044.0000000001,3977344.0,Dealer Network
SO-437260,C0085,CHN001,2022-02-08,2022-02-16,Cancelled,Net 45,1238590,345496.20000000007,1584086.2,Dealer Network
SO-966787,C0409,PUN001,2022-10-01,2022-10-04,Delivered,Net 45,107380,28088.400000000005,135468.4,Dealer Network
SO-339874,C0103,KOL001,2023-07-07,2023-07-13,Delivered,Net 45,964790,256312.20000000004,1221102.2,Online
SO-575988,C0121,PUN001,2020-08-10,2020-08-11,Delivered,Net 30,2742440,767759.2000000001,3510199.2,Online
SO-617013,C0056,DEL001,2022-08-26,2022-09-07,Cancelled,Advance,3422010,950051.8,4372061.8,Counter Sale
SO-819437,C0244,KOL001,2019-06-15,2019-06-16,Delivered,Net 60,1807760,494856.8000000001,2302616.8,Online
SO-425052,C0246,DEL001,2020-10-03,2020-10-14,Delivered,Net 30,1148200,321206.00000000006,1469406.0,Dealer Network
SO-347333,C0483,DEL001,2020-06-22,2020-07-04,Delivered,Advance,3075590,854916.2000000001,3930506.2,Dealer Network
SO-550189,C0107,DEL001,2019-01-16,2019-01-28,Delivered,Net 30,1631180,455362.4000000001,2086542.4,Online
SO-467883,C0224,KOL001,2021-05-02,2021-05-12,Delivered,Net 60,1924670,538535.6000000001,2463205.6,Dealer Network
SO-777242,C0363,AHM001,2022-12-31,2023-01-04,Delivered,Advance,2070260,572256.8,2642516.8,Counter Sale
SO-444216,C0201,CHN001,2020-08-14,2020-08-20,Delivered,Net 15,359700,100716.0,460416.0,Online
SO-894246,C0060,HYD001,2024-09-27,2024-10-11,Delivered,Net 60,318450,88541.0,406991.0,Counter Sale
SO-758861,C0323,AHM001,2021-11-14,2021-11-20,Delivered,Advance,667440,185659.2,853099.2,Dealer Network
SO-635831,C0437,HYD001,2022-12-02,2022-12-07,Delivered,Net 30,7250,1305.0,8555.0,Online
SO-872605,C0492,HYD001,2024-11-05,2024-11-07,Delivered,Net 60,1375750,375265.00000000006,1751015.0,Field Sales
SO-362034,C0354,HYD001,2019-03-14,2019-03-23,Delivered,Advance,467560,121955.80000000002,589515.8,Dealer Network
SO-585430,C0397,AHM001,2019-02-11,2019-02-24,Delivered,Net 30,162630,33253.4,195883.4,Online
SO-744439,C0004,CHN001,2022-06-27,2022-07-03,Delivered,Net 30,1190300,331534.0,1521834.0,Field Sales
SO-347118,C0245,CHN001,2024-09-27,2024-09-28,Delivered,Advance,1003740,276588.2,1280328.2,Field Sales
SO-682670,C0377,CHN001,2024-12-07,2024-12-19,Delivered,Net 45,1642860,447889.8000000001,2090749.8,Field Sales
SO-147697,C0127,KOL001,2021-08-18,2021-08-29,Delivered,Net 45,477200,133616.00000000003,610816.0,Online
SO-208829,C0064,KOL001,2024-10-18,2024-10-27,Delivered,Net 45,862820,239867.60000000003,1102687.6,Dealer Network
SO-847245,C0336,KOL001,2024-05-16,2024-05-17,Delivered,Net 15,1857220,508029.6,2365249.6,Online
SO-909198,C0259,CHN001,2023-03-01,2023-03-02,Delivered,Net 15,1482520,411543.6,1894063.6,Dealer Network
SO-662353,C0440,HYD001,2024-04-08,2024-04-16,Delivered,Net 30,277770,77703.6,355473.6,Online
SO-190942,C0460,DEL001,2023-03-04,2023-03-14,Delivered,Net 60,2250900,630252.0,2881152.0,Online
SO-640770,C0445,KOL001,2023-08-15,2023-08-22,Delivered,Net 60,1181100,330708.00000000006,1511808.0,Dealer Network
SO-464850,C0415,PUN001,2020-06-21,2020-07-02,Delivered,Net 30,2024160,566088.8000000002,2590248.8,Online
SO-658992,C0475,KOL001,2022-09-04,2022-09-06,Delivered,Net 45,3249700,906201.0,4155901.0,Dealer Network
SO-390263,C0046,AHM001,2022-02-08,2022-02-15,Delivered,Net 45,16100,2898.0,18998.0,Field Sales
SO-102070,C0096,CHN001,2019-01-19,2019-01-20,Delivered,Net 15,409550,112949.0,522499.0,Field Sales
SO-321124,C0302,AHM001,2019-08-31,2019-09-05,Cancelled,Net 15,194250,54390.00000000001,248640.0,Counter Sale
SO-435701,C0236,KOL001,2022-11-24,2022-12-08,Delivered,Net 15,700600,196168.00000000003,896768.0,Dealer Network
SO-365432,C0403,KOL001,2021-04-24,2021-04-26,Delivered,Advance,915080,235539.4,1150619.4,Dealer Network
SO-548354,C0447,KOL001,2021-06-02,2021-06-11,Cancelled,Net 15,1214470,336699.60000000003,1551169.6,Counter Sale
SO-837858,C0500,KOL001,2024-04-27,2024-05-04,Delivered,Net 30,123540,34157.2,157697.2,Online
SO-366079,C0367,CHN001,2019-12-30,2020-01-14,Delivered,Net 60,868550,231959.00000000003,1100509.0,Field Sales
SO-308599,C0088,PUN001,2022-09-15,2022-09-21,Delivered,Net 45,1790100,495358.00000000006,2285458.0,Dealer Network
SO-230529,C0225,DEL001,2024-02-11,2024-02-15,Delivered,Advance,2080810,577070.8,2657880.8,Counter Sale
SO-402648,C0037,PUN001,2024-06-21,2024-07-04,Delivered,Advance,152100,42588.00000000001,194688.0,Field Sales
SO-918473,C0197,AHM001,2022-01-25,2022-01-28,Delivered,Net 45,620760,167576.80000000002,788336.8,Field Sales
SO-397073,C0348,DEL001,2019-08-30,2019-09-01,Delivered,Net 60,460810,126725.80000000002,587535.8,Counter Sale
SO-171359,C0233,KOL001,2020-05-27,2020-06-04,Delivered,Net 45,837360,225149.8,1062509.8,Dealer Network
SO-854086,C0003,DEL001,2020-11-09,2020-11-22,Delivered,Net 30,2162970,603514.6000000001,2766484.6,Counter Sale
SO-488795,C0241,AHM001,2020-08-06,2020-08-11,Cancelled,Net 60,1586520,444008.6,2030528.6,Dealer Network
SO-829167,C0193,CHN001,2024-02-12,2024-02-20,Delivered,Advance,742160,207618.8,949778.8,Field Sales
SO-440914,C0430,KOL001,2024-04-22,2024-04-26,Delivered,Net 15,1099250,302135.00000000006,1401385.0,Counter Sale
SO-462946,C0159,CHN001,2023-05-07,2023-05-10,Delivered,Net 45,1061370,275561.6,1336931.6,Field Sales
SO-401583,C0398,HYD001,2024-09-05,2024-09-10,Delivered,Net 30,158900,28602.0,187502.0,Counter Sale
SO-808201,C0175,KOL001,2019-09-16,2019-09-24,Delivered,Advance,80550,22554.0,103104.0,Field Sales
SO-602597,C0285,PUN001,2021-04-23,2021-04-29,Delivered,Net 15,1214450,331681.0,1546131.0,Online
SO-758058,C0012,CHN001,2020-08-07,2020-08-17,Delivered,Advance,122350,22023.0,144373.0,Online
SO-171543,C0062,HYD001,2019-11-17,2019-11-21,Delivered,Net 60,604700,161066.00000000003,765766.0,Counter Sale
SO-917897,C0375,PUN001,2022-06-28,2022-07-13,Delivered,Net 60,367270,94008.6,461278.6,Dealer Network
SO-590650,C0379,CHN001,2022-06-18,2022-07-03,Delivered,Advance,1728640,473505.20000000007,2202145.2,Field Sales
SO-533108,C0005,AHM001,2019-03-24,2019-03-26,Delivered,Net 30,1481610,406344.8000000001,1887954.8,Dealer Network
SO-640431,C0365,KOL001,2023-03-02,2023-03-15,Delivered,Net 60,2314000,644060.0000000001,2958060.0,Dealer Network
SO-645967,C0065,AHM001,2024-02-22,2024-03-04,Delivered,Net 15,1450640,405135.20000000007,1855775.2,Online
SO-184070,C0311,DEL001,2019-07-13,2019-07-18,Delivered,Net 45,3463260,968756.8000000002,4432016.8,Field Sales
SO-850760,C0499,PUN001,2024-03-21,2024-03-31,Delivered,Advance,999910,265373.80000000005,1265283.8,Dealer Network
SO-741015,C0028,PUN001,2020-08-13,2020-08-25,Delivered,Net 45,711940,197854.2,909794.2,Field Sales
SO-382072,C0089,AHM001,2021-12-15,2021-12-28,Delivered,Net 30,92500,25610.000000000004,118110.0,Online
SO-843183,C0472,CHN001,2020-03-14,2020-03-18,Delivered,Net 45,1513210,420667.8000000001,1933877.8,Field Sales
SO-775978,C0382,HYD001,2023-04-05,2023-04-17,Delivered,Advance,13680,2462.4,16142.4,Counter Sale
SO-398968,C0215,CHN001,2024-12-24,2024-12-27,Delivered,Net 15,1273370,342616.60000000003,1615986.6,Counter Sale
SO-130373,C0401,DEL001,2023-02-07,2023-02-14,Delivered,Net 60,1943060,517610.8000000001,2460670.8,Online
SO-602996,C0393,KOL001,2021-04-22,2021-04-29,Delivered,Net 15,703400,196952.00000000003,900352.0,Counter Sale
SO-714774,C0248,PUN001,2022-10-16,2022-10-23,Delivered,Net 30,1781770,485368.6000000001,2267138.6,Dealer Network
SO-945501,C0390,DEL001,2021-06-19,2021-07-01,Delivered,Advance,2135310,593030.8,2728340.8,Dealer Network
SO-543216,C0402,HYD001,2020-11-14,2020-11-24,Delivered,Net 15,1979880,534753.4,2514633.4,Online
SO-125836,C0221,DEL001,2021-06-30,2021-07-04,Delivered,Net 45,1613880,435418.4,2049298.4,Counter Sale
SO-203868,C0049,KOL001,2021-08-12,2021-08-16,Delivered,Net 15,2938120,817346.6000000001,3755466.6,Dealer Network
SO-608240,C0120,HYD001,2021-04-11,2021-04-14,Delivered,Net 30,1361100,379858.00000000006,1740958.0,Online
SO-513611,C0305,DEL001,2020-04-16,2020-04-24,Delivered,Net 15,61200,11016.0,72216.0,Counter Sale
SO-828282,C0061,HYD001,2020-11-08,2020-11-22,Delivered,Net 45,559110,151304.80000000002,710414.8,Dealer Network
SO-113739,C0435,CHN001,2024-05-08,2024-05-20,Delivered,Net 45,2097740,586143.2000000001,2683883.2,Dealer Network
SO-323966,C0439,CHN001,2020-07-02,2020-07-09,Delivered,Net 30,1659880,456028.4,2115908.4,Online
SO-592649,C0101,CHN001,2020-02-11,2020-02-21,Delivered,Net 60,431290,118347.2,549637.2,Counter Sale
SO-226326,C0163,AHM001,2024-06-21,2024-07-06,Delivered,Net 45,219880,56278.4,276158.4,Online
SO-218674,C0394,HYD001,2019-12-13,2019-12-24,Cancelled,Net 45,1032170,267390.60000000003,1299560.6,Field Sales
SO-335406,C0246,DEL001,2020-07-10,2020-07-14,Delivered,Net 30,3638050,1000939.0,4638989.0,Dealer Network
SO-472661,C0450,KOL001,2022-10-16,2022-10-17,Delivered,Advance,3967160,1087558.8,5054718.8,Counter Sale
SO-390855,C0221,DEL001,2022-07-29,2022-07-30,Delivered,Net 45,1250580,348589.4,1599169.4,Field Sales
SO-892079,C0293,PUN001,2022-12-01,2022-12-03,Cancelled,Net 30,1079110,284859.80000000005,1363969.8,Counter Sale
SO-165767,C0341,DEL001,2021-11-04,2021-11-10,Delivered,Net 45,1535780,429090.4,1964870.4,Field Sales
SO-393912,C0134,AHM001,2021-02-12,2021-02-21,Delivered,Net 60,1402450,388371.00000000006,1790821.0,Dealer Network
SO-582887,C0470,CHN001,2022-06-05,2022-06-12,Delivered,Net 45,1544300,427409.00000000006,1971709.0,Field Sales
SO-423263,C0021,HYD001,2019-06-15,2019-06-18,Delivered,Net 15,809480,208166.4,1017646.4,Online
SO-507341,C0201,CHN001,2019-12-02,2019-12-12,Delivered,Net 15,14500,2610.0,17110.0,Online
SO-874057,C0184,CHN001,2022-03-29,2022-04-05,Cancelled,Net 15,771700,205086.00000000003,976786.0,Counter Sale
SO-836113,C0151,KOL001,2019-03-03,2019-03-07,Delivered,Net 45,164570,37532.600000000006,202102.6,Online
SO-131528,C0309,AHM001,2022-06-27,2022-07-05,Delivered,Net 45,731900,204932.0,936832.0,Online
SO-123304,C0218,PUN001,2023-01-22,2023-01-29,Delivered,Advance,3564700,997176.0,4561876.0,Dealer Network
SO-914003,C0250,PUN001,2022-01-13,2022-01-18,Delivered,Advance,391330,107449.40000000002,498779.4,Counter Sale
SO-645602,C0148,AHM001,2022-11-26,2022-12-05,Delivered,Net 15,2182140,602665.2000000001,2784805.2,Counter Sale
SO-886732,C0242,CHN001,2023-12-27,2024-01-10,Delivered,Advance,2424070,674977.6000000001,3099047.6,Counter Sale
SO-289341,C0161,AHM001,2024-11-17,2024-11-28,Delivered,Net 45,1474840,384701.20000000007,1859541.2,Field Sales
SO-938790,C0075,HYD001,2019-09-18,2019-09-29,Delivered,Net 45,692110,183319.8,875429.8,Counter Sale
SO-606281,C0477,AHM001,2024-06-02,2024-06-14,Delivered,Net 15,931830,244769.4,1176599.4,Field Sales
SO-508013,C0351,CHN001,2020-05-14,2020-05-23,Delivered,Advance,680460,187492.8,867952.8,Dealer Network
SO-440369,C0267,HYD001,2019-10-04,2019-10-10,Delivered,Net 60,870460,230332.8,1100792.8,Counter Sale
SO-737186,C0495,AHM001,2022-03-15,2022-03-17,Delivered,Net 45,684850,191758.00000000003,876608.0,Counter Sale
