payment_uid,payment_id,invoice_id,payment_date,payment_amount,payment_method,invoice_id_ambiguous
PAYUID-000030,PAY-478426,INV-853902,2024-11-15,3618774.4,Bank Transfer,False
PAYUID-000031,PAY-515325,INV-814835,2022-04-16,1005598.3,UPI,False
PAYUID-000032,PAY-874707,INV-661209,2024-09-02,1797950.84,Credit Card,False
PAYUID-000033,PAY-299782,INV-972475,2021-12-10,3046635.0,UPI,False
PAYUID-000034,PAY-632461,INV-263467,2021-05-03,1052710.5,UPI,False
PAYUID-000035,PAY-505362,INV-263467,2021-05-13,1308551.93,UPI,False
PAYUID-000036,PAY-762803,INV-263467,2021-05-31,69347.57,Cheque,False
PAYUID-000037,PAY-565053,INV-572541,2022-09-02,1375679.0,Cash,False
PAYUID-000038,PAY-737722,INV-441708,2023-11-13,1664928.8,Cash,False
PAYUID-000039,PAY-510112,INV-635373,2019-05-20,1244288.0,Cash,False
PAYUID-000040,PAY-899796,INV-324741,2021-09-09,2107337.0,Bank Transfer,False
PAYUID-000041,PAY-629364,INV-800566,2019-05-17,618463.4,Cheque,False
PAYUID-000042,PAY-763283,INV-854510,2019-04-15,2276792.0,UPI,False
PAYUID-000043,PAY-123284,INV-959225,2019-09-18,325327.61,Bank Transfer,False
PAYUID-000044,PAY-382386,INV-562671,2022-05-17,1572446.21,Credit Card,False
PAYUID-000045,PAY-258755,INV-562671,2022-05-29,444858.79,Credit Card,False
PAYUID-000046,PAY-938738,INV-979945,2024-09-24,2966082.57,Credit Card,False
PAYUID-000047,PAY-572591,INV-979945,2024-09-19,1492601.34,Cash,False
PAYUID-000048,PAY-695190,INV-979945,2024-10-12,334887.89,Credit Card,False
PAYUID-000049,PAY-794752,INV-183234,2022-10-02,566979.0,Cash,False
PAYUID-000050,PAY-692208,INV-696783,2024-10-29,38144.0,Bank Transfer,False
PAYUID-000051,PAY-438162,INV-774464,2020-04-15,2724781.4,Credit Card,False
PAYUID-000052,PAY-791965,INV-940141,2019-08-13,373881.0,UPI,False
PAYUID-000053,PAY-437393,INV-906426,2021-08-25,2694043.33,Bank Transfer,False
PAYUID-000054,PAY-558925,INV-906426,2021-09-07,926439.87,Bank Transfer,False
PAYUID-000055,PAY-542937,INV-155585,2022-05-29,1040023.91,Cash,False
PAYUID-000056,PAY-983283,INV-155585,2022-05-19,1120936.46,Cheque,False
PAYUID-000057,PAY-984135,INV-155585,2022-06-08,289559.84,Cheque,False
PAYUID-000058,PAY-286250,INV-436081,2019-05-02,650195.4,Cheque,False
PAYUID-000059,PAY-446165,INV-886834,2019-09-14,141956.63,Bank Transfer,False
PAYUID-000060,PAY-635048,INV-886834,2019-09-26,266847.37,Bank Transfer,False
PAYUID-000061,PAY-555124,INV-194338,2021-11-14,1683260.2,UPI,False
PAYUID-000062,PAY-719746,INV-895736,2023-08-27,197679.19,Bank Transfer,False
PAYUID-000063,PAY-886734,INV-895736,2023-08-08,79966.41,UPI,False
PAYUID-000064,PAY-695247,INV-932358,2024-11-20,168851.4,Cheque,False
PAYUID-000065,PAY-157653,INV-469444,2024-04-17,2808179.4,UPI,False
PAYUID-000066,PAY-119777,INV-964240,2022-12-02,490021.0,Cash,False
PAYUID-000067,PAY-475369,INV-370392,2019-10-16,663024.66,Cash,False
PAYUID-000068,PAY-988156,INV-177268,2019-08-26,2479735.0,Cash,False
PAYUID-000069,PAY-366890,INV-954567,2022-11-15,2430575.45,Bank Transfer,False
PAYUID-000070,PAY-993538,INV-312855,2023-11-05,1135201.4,Bank Transfer,False
PAYUID-000071,PAY-256639,INV-949130,2020-11-01,4969582.0,Credit Card,False
PAYUID-000072,PAY-414584,INV-802577,2022-04-14,103918.32,Bank Transfer,False
PAYUID-000073,PAY-897991,INV-975372,2019-05-21,682444.13,UPI,False
PAYUID-000074,PAY-482454,INV-700800,2020-06-18,52806.72,Credit Card,False
PAYUID-000075,PAY-118793,INV-940006,2020-12-10,946716.2,Cheque,False
PAYUID-000076,PAY-243935,INV-295210,2021-10-12,918403.6,Bank Transfer,False
PAYUID-000077,PAY-967560,INV-147057,2022-01-20,1172687.0,Cash,False
PAYUID-000078,PAY-882840,INV-334538,2023-08-01,272528.56,UPI,False
PAYUID-000079,PAY-437455,INV-961603,2022-09-21,1178776.95,Bank Transfer,False
PAYUID-000080,PAY-235674,INV-961603,2022-10-02,2796469.05,Bank Transfer,False
PAYUID-000081,PAY-848014,INV-253296,2024-11-24,611714.4,Bank Transfer,False
PAYUID-000082,PAY-909608,INV-585792,2022-06-10,648294.4,Cheque,False
PAYUID-000083,PAY-683802,INV-426299,2022-09-13,3248945.0,Cash,False
PAYUID-000084,PAY-870339,INV-693572,2023-06-07,3973.58,Credit Card,False
PAYUID-000085,PAY-274399,INV-914904,2024-12-22,707309.6,Credit Card,False
PAYUID-000086,PAY-899911,INV-411347,2019-07-06,74617.65,Credit Card,False
PAYUID-000087,PAY-245855,INV-698098,2023-06-27,2877330.97,Bank Transfer,False
PAYUID-000088,PAY-548537,INV-698098,2023-06-14,430854.53,Cash,False
PAYUID-000089,PAY-346680,INV-698098,2023-07-11,10769.29,UPI,False
PAYUID-000090,PAY-673857,INV-734161,2021-05-26,1858837.36,Cash,False
PAYUID-000091,PAY-648795,INV-734161,2021-04-16,1349769.84,Bank Transfer,False
PAYUID-000092,PAY-197620,INV-964300,2021-03-18,1155419.87,UPI,False
PAYUID-000093,PAY-520424,INV-964300,2021-03-12,1305461.13,Bank Transfer,False
PAYUID-000094,PAY-185442,INV-964300,2021-04-09,68076.99,Credit Card,False
PAYUID-000095,PAY-772909,INV-102776,2021-04-07,638068.06,Cheque,False
PAYUID-000096,PAY-671580,INV-102776,2021-03-10,177020.6,UPI,False
PAYUID-000097,PAY-948760,INV-102776,2021-03-13,2858387.34,Cheque,False
PAYUID-000098,PAY-636822,INV-127918,2020-07-14,1361776.04,Credit Card,False
PAYUID-000099,PAY-577585,INV-577818,2024-12-19,100288.2,Bank Transfer,False
PAYUID-000100,PAY-659220,INV-184254,2022-12-18,131397.72,Credit Card,False
PAYUID-000101,PAY-394155,INV-586934,2021-10-28,1311426.0,UPI,False
PAYUID-000102,PAY-580426,INV-616169,2020-01-29,209792.0,Credit Card,False
PAYUID-000103,PAY-206957,INV-627222,2020-06-23,1630470.51,Cheque,False
PAYUID-000104,PAY-689612,INV-627222,2020-07-08,1721630.29,Credit Card,False
PAYUID-000105,PAY-104674,INV-677165,2023-05-24,788964.0,UPI,False
PAYUID-000106,PAY-425992,INV-619125,2024-12-21,975978.4,Bank Transfer,False
PAYUID-000107,PAY-952639,INV-953376,2024-09-23,5561559.0,Cash,False
PAYUID-000108,PAY-467865,INV-260722,2020-04-01,691509.0,Cash,False
PAYUID-000109,PAY-543884,INV-787139,2022-10-03,2063029.4,Credit Card,False
PAYUID-000110,PAY-614666,INV-898377,2022-08-10,1684355.2,Credit Card,False
PAYUID-000111,PAY-291696,INV-752600,2020-10-02,1533170.24,Cash,False
PAYUID-000112,PAY-152998,INV-752600,2020-10-14,1755655.56,UPI,False
PAYUID-000113,PAY-543378,INV-437984,2019-12-27,945729.26,Credit Card,False
PAYUID-000114,PAY-579942,INV-411163,2019-05-20,380881.8,UPI,False
PAYUID-000115,PAY-262603,INV-443757,2019-03-08,2099494.0,Credit Card,False
PAYUID-000116,PAY-594317,INV-586996,2021-04-20,18127.54,Credit Card,False
PAYUID-000117,PAY-855967,INV-957703,2024-08-11,253852.8,Cash,False
PAYUID-000118,PAY-289699,INV-326761,2022-06-30,2762833.49,Credit Card,False
PAYUID-000119,PAY-348493,INV-120199,2020-07-30,3977344.0,Credit Card,False
PAYUID-000120,PAY-283334,INV-455926,2022-10-31,85019.17,Cash,False
PAYUID-000121,PAY-196274,INV-778889,2023-08-15,1221102.2,Cheque,False
PAYUID-000122,PAY-805204,INV-786715,2020-09-21,3510199.2,Credit Card,False
PAYUID-000123,PAY-187085,INV-693655,2019-08-12,1202767.32,Cheque,False
PAYUID-000124,PAY-663990,INV-717505,2020-12-08,351920.21,Cash,False
PAYUID-000125,PAY-138866,INV-721046,2019-02-20,2086542.4,Cash,False
PAYUID-000126,PAY-811462,INV-350383,2021-05-17,1152541.8,Credit Card,False
PAYUID-000127,PAY-268403,INV-650874,2020-09-18,460416.0,Cheque,False
PAYUID-000128,PAY-371358,INV-949587,2024-12-06,259671.79,UPI,False
PAYUID-000129,PAY-902698,INV-991036,2022-01-12,853099.2,UPI,False
PAYUID-000130,PAY-328094,INV-401121,2022-12-23,8555.0,UPI,False
PAYUID-000131,PAY-626140,INV-163013,2024-12-20,1751015.0,Bank Transfer,False
PAYUID-000132,PAY-795162,INV-772342,2019-05-17,81006.98,UPI,False
PAYUID-000133,PAY-709266,INV-276594,2024-12-14,905695.68,Cash,False
PAYUID-000134,PAY-587781,INV-442508,2021-10-01,610816.0,Bank Transfer,False
PAYUID-000135,PAY-968198,INV-261967,2025-01-16,311445.74,Credit Card,False
PAYUID-000136,PAY-896637,INV-708803,2024-07-06,2365249.6,Cheque,False
PAYUID-000137,PAY-194403,INV-357271,2024-04-29,355473.6,Bank Transfer,False
PAYUID-000138,PAY-216981,INV-973318,2023-06-09,1897886.28,Bank Transfer,False
PAYUID-000139,PAY-441041,INV-284451,2023-09-14,1511808.0,Cheque,False
PAYUID-000140,PAY-484624,INV-606345,2020-08-31,540963.43,Bank Transfer,False
PAYUID-000141,PAY-667382,INV-419723,2022-09-13,1337986.39,Cheque,False
PAYUID-000142,PAY-851339,INV-367357,2022-03-19,4242.51,Credit Card,False
PAYUID-000143,PAY-878212,INV-389681,2019-03-07,522499.0,Cash,False
PAYUID-000144,PAY-619078,INV-616489,2023-01-05,170126.41,Bank Transfer,False
PAYUID-000145,PAY-372602,INV-616489,2022-12-15,726641.59,UPI,False
PAYUID-000146,PAY-538848,INV-630691,2021-04-29,809582.1,Cash,False
PAYUID-000147,PAY-130368,INV-716228,2024-05-15,157697.2,Credit Card,False
PAYUID-000148,PAY-293706,INV-899491,2022-11-03,2285458.0,UPI,False
PAYUID-000149,PAY-800359,INV-327740,2024-04-08,1486606.13,Bank Transfer,False
PAYUID-000150,PAY-967971,INV-867649,2024-07-12,194688.0,Credit Card,False
PAYUID-000151,PAY-178427,INV-412834,2019-10-23,587535.8,Cash,False
PAYUID-000152,PAY-524001,INV-346851,2020-07-03,1062509.8,Cheque,False
PAYUID-000153,PAY-854020,INV-727878,2020-11-23,2766484.6,Cheque,False
PAYUID-000154,PAY-374314,INV-889049,2024-03-24,515038.33,Credit Card,False
PAYUID-000155,PAY-740170,INV-522975,2024-06-12,1401385.0,UPI,False
PAYUID-000156,PAY-750950,INV-123985,2023-07-01,1336931.6,Cheque,False
PAYUID-000157,PAY-328496,INV-377481,2024-09-19,59994.18,Bank Transfer,False
PAYUID-000158,PAY-733872,INV-377481,2024-10-20,127507.82,UPI,False
PAYUID-000159,PAY-341574,INV-197644,2021-05-07,1546131.0,Cash,False
PAYUID-000160,PAY-508016,INV-761932,2020-08-31,144373.0,Credit Card,False
PAYUID-000161,PAY-384236,INV-334241,2020-01-13,765766.0,Cash,False
PAYUID-000162,PAY-864004,INV-524826,2022-07-29,115151.45,UPI,False
PAYUID-000163,PAY-641483,INV-123850,2022-08-16,1559858.08,Bank Transfer,False
PAYUID-000164,PAY-884951,INV-221398,2019-03-27,1887954.8,UPI,False
PAYUID-000165,PAY-332987,INV-895599,2023-05-02,1697452.91,Credit Card,False
PAYUID-000166,PAY-739691,INV-985430,2024-04-20,244262.07,Cheque,False
PAYUID-000167,PAY-458903,INV-985430,2024-03-11,747105.7,UPI,False
PAYUID-000168,PAY-494983,INV-985430,2024-04-21,864407.43,Cheque,False
PAYUID-000169,PAY-265045,INV-261578,2019-09-11,2532292.47,UPI,False
PAYUID-000170,PAY-871319,INV-486262,2024-04-01,410002.73,Bank Transfer,False
PAYUID-000171,PAY-829765,INV-339583,2020-09-23,909794.2,UPI,False
PAYUID-000172,PAY-666123,INV-134878,2022-03-15,94031.96,Bank Transfer,False
PAYUID-000173,PAY-497286,INV-153975,2023-06-13,16142.4,UPI,False
PAYUID-000174,PAY-132552,INV-671462,2025-02-17,1615986.6,Bank Transfer,False
PAYUID-000175,PAY-241345,INV-806455,2023-02-21,2460670.8,UPI,False
PAYUID-000176,PAY-475064,INV-906166,2021-06-19,900352.0,Bank Transfer,False
PAYUID-000177,PAY-726998,INV-986320,2022-11-30,2267138.6,UPI,False
PAYUID-000178,PAY-238864,INV-231120,2021-08-14,2728340.8,UPI,False
PAYUID-000179,PAY-114908,INV-483476,2021-01-02,420250.11,UPI,False
PAYUID-000180,PAY-814746,INV-483476,2020-12-09,787412.6,Cheque,False
PAYUID-000181,PAY-899223,INV-483476,2021-01-20,1306970.69,Credit Card,False
PAYUID-000182,PAY-787384,INV-902673,2021-08-19,3755466.6,Bank Transfer,False
PAYUID-000183,PAY-774342,INV-392349,2021-07-13,1204191.2,Cheque,False
PAYUID-000184,PAY-924146,INV-178352,2020-12-24,710414.8,Cash,False
PAYUID-000185,PAY-320176,INV-820114,2024-05-31,2465945.03,UPI,False
PAYUID-000186,PAY-352568,INV-820114,2024-06-06,217938.17,Bank Transfer,False
PAYUID-000187,PAY-886702,INV-230503,2020-08-10,2115908.4,Cash,False
PAYUID-000188,PAY-963214,INV-931890,2020-03-01,192126.53,Cheque,False
PAYUID-000189,PAY-461498,INV-714237,2024-09-30,62437.58,Credit Card,False
PAYUID-000190,PAY-675169,INV-263204,2020-09-02,4638989.0,UPI,False
PAYUID-000191,PAY-384632,INV-188578,2022-12-19,2312492.96,Cash,False
PAYUID-000192,PAY-851529,INV-100160,2022-08-02,1599169.4,Cheque,False
PAYUID-000193,PAY-408785,INV-651562,2021-12-14,704201.97,UPI,False
PAYUID-000194,PAY-928163,INV-626646,2021-05-17,1043003.67,UPI,False
PAYUID-000195,PAY-822757,INV-610685,2022-07-24,1971709.0,UPI,False
PAYUID-000196,PAY-779699,INV-783790,2019-06-24,583942.36,Credit Card,False
PAYUID-000197,PAY-254542,INV-783790,2019-07-28,433704.04,UPI,False
PAYUID-000198,PAY-819234,INV-969422,2020-01-01,17110.0,Credit Card,False
PAYUID-000199,PAY-512768,INV-924690,2019-05-25,120224.18,Bank Transfer,False
PAYUID-000200,PAY-821281,INV-252644,2022-07-30,936832.0,Bank Transfer,False
PAYUID-000201,PAY-498641,INV-629674,2023-04-06,2014174.9,Cheque,False
PAYUID-000202,PAY-649431,INV-540122,2022-03-09,498779.4,Cheque,False
PAYUID-000203,PAY-452977,INV-211913,2022-12-30,2784805.2,Credit Card,False
PAYUID-000204,PAY-477965,INV-459565,2025-01-05,1859541.2,Cash,False
PAYUID-000205,PAY-361305,INV-294135,2019-12-26,362304.49,Cheque,False
PAYUID-000206,PAY-761194,INV-172542,2024-07-31,1176599.4,Cheque,False
PAYUID-000207,PAY-579825,INV-943372,2020-07-07,867952.8,Cash,False
PAYUID-000208,PAY-309344,INV-305012,2019-12-02,1100792.8,Cheque,False
PAYUID-000209,PAY-908559,INV-224042,2022-06-07,575676.6,Credit Card,False
PAYUID-000210,PAY-518077,INV-335767,2021-07-07,826145.4,Cash,False
PAYUID-000211,PAY-146565,INV-574854,2021-08-20,1261485.2,Credit Card,False
PAYUID-000212,PAY-257981,INV-453163,2023-08-08,3192498.0,Bank Transfer,False
PAYUID-000213,PAY-375142,INV-163610,2024-06-07,3844184.8,UPI,False
PAYUID-000214,PAY-974075,INV-916781,2021-06-23,2377542.4,Credit Card,False
PAYUID-000215,PAY-537770,INV-460353,2022-07-07,2679153.4,Bank Transfer,False
PAYUID-000216,PAY-243479,INV-190459,2023-09-29,155718.6,Cheque,False
PAYUID-000217,PAY-345344,INV-370186,2021-06-18,820697.0,Credit Card,False
PAYUID-000218,PAY-986846,INV-258680,2020-12-28,26844.45,UPI,False
PAYUID-000219,PAY-162632,INV-661102,2020-08-20,1778164.87,Cheque,False
PAYUID-000220,PAY-629303,INV-524025,2021-09-28,2436314.2,Bank Transfer,False
PAYUID-000221,PAY-981404,INV-663590,2022-05-12,138179.63,Bank Transfer,False
PAYUID-000222,PAY-867916,INV-210539,2019-06-20,349891.06,Bank Transfer,False
PAYUID-000223,PAY-827436,INV-154351,2019-06-29,3764635.2,Bank Transfer,False
PAYUID-000224,PAY-175885,INV-349844,2024-11-06,1090278.4,Cash,False
PAYUID-000225,PAY-631848,INV-809898,2019-08-20,108160.0,Cash,False
PAYUID-000226,PAY-932786,INV-702731,2023-07-12,1373436.2,Credit Card,False
PAYUID-000227,PAY-879363,INV-155178,2022-12-30,2206095.8,Cheque,False
PAYUID-000228,PAY-557118,INV-697554,2019-10-06,192104.4,Bank Transfer,False
PAYUID-000229,PAY-927869,INV-587012,2020-02-28,354816.0,Credit Card,False
PAYUID-000230,PAY-772281,INV-754788,2021-02-15,1502722.2,Credit Card,False
PAYUID-000231,PAY-134579,INV-704618,2021-12-15,2415127.8,Credit Card,False
PAYUID-000232,PAY-437931,INV-298866,2020-08-07,957815.8,Cash,False
PAYUID-000233,PAY-886743,INV-499937,2021-04-27,1560947.8,Bank Transfer,False
PAYUID-000234,PAY-858597,INV-888820,2019-12-10,533470.36,Cheque,False
PAYUID-000235,PAY-211656,INV-229206,2024-12-18,432575.2,UPI,False
PAYUID-000236,PAY-403286,INV-264313,2022-11-18,2946557.6,UPI,False
PAYUID-000237,PAY-915023,INV-405142,2020-03-27,64841.0,Cash,False
PAYUID-000238,PAY-858000,INV-973446,2023-07-18,1754708.0,Cash,False
PAYUID-000239,PAY-625362,INV-979533,2021-05-16,1668292.55,UPI,False
PAYUID-000240,PAY-826432,INV-979533,2021-05-03,481708.65,Cheque,False
PAYUID-000241,PAY-771554,INV-166581,2019-06-16,714025.58,Cheque,False
PAYUID-000242,PAY-868259,INV-166581,2019-06-21,579332.42,UPI,False
PAYUID-000243,PAY-697657,INV-895312,2024-10-21,173056.0,Credit Card,False
PAYUID-000244,PAY-767129,INV-508847,2023-06-16,551468.8,Cheque,False
PAYUID-000245,PAY-558834,INV-382760,2020-08-25,681970.2,Cheque,False
PAYUID-000246,PAY-185391,INV-943622,2021-12-21,389002.82,UPI,False
PAYUID-000247,PAY-280520,INV-943622,2022-01-23,362183.8,Cheque,False
PAYUID-000248,PAY-596369,INV-943622,2021-12-13,132948.58,Cheque,False
PAYUID-000249,PAY-291486,INV-736491,2024-01-19,623274.4,UPI,False
PAYUID-000250,PAY-537092,INV-422787,2022-01-21,1329010.49,Bank Transfer,False
PAYUID-000251,PAY-568413,INV-422787,2022-02-11,1347499.51,Bank Transfer,False
PAYUID-000252,PAY-689440,INV-340163,2019-09-12,2400839.18,Cash,False
PAYUID-000253,PAY-909888,INV-886303,2024-07-11,859696.16,Bank Transfer,False
PAYUID-000254,PAY-913054,INV-157458,2022-12-04,3320840.6,Cheque,False
PAYUID-000255,PAY-728540,INV-977102,2023-10-03,788594.6,Cash,False
PAYUID-000256,PAY-858216,INV-549463,2023-10-20,2636312.0,Cash,False
PAYUID-000257,PAY-356134,INV-684405,2021-01-21,4531.2,Cheque,False
PAYUID-000258,PAY-435113,INV-396963,2021-09-29,92189.4,Cheque,False
PAYUID-000259,PAY-470374,INV-312540,2024-01-19,1616.12,Cheque,False
PAYUID-000260,PAY-245783,INV-312540,2024-01-01,1121.48,UPI,False
PAYUID-000261,PAY-492189,INV-727313,2021-12-28,192744.51,Cheque,False
PAYUID-000262,PAY-826417,INV-727313,2022-01-28,16490.29,Credit Card,False
PAYUID-000263,PAY-502888,INV-570704,2024-02-01,2540317.0,Credit Card,False
PAYUID-000264,PAY-949887,INV-244183,2023-05-31,828826.4,Cash,False
PAYUID-000265,PAY-268995,INV-834838,2024-02-27,2399832.0,Cheque,False
PAYUID-000266,PAY-550895,INV-529150,2023-02-17,3564705.6,Credit Card,False
PAYUID-000267,PAY-879982,INV-220146,2020-11-26,1273288.2,Cheque,False
PAYUID-000268,PAY-144157,INV-582130,2021-05-25,104398.18,Cash,False
PAYUID-000269,PAY-541290,INV-582130,2021-07-01,1062709.03,Cash,False
PAYUID-000270,PAY-349606,INV-582130,2021-07-02,4951.19,Cheque,False
PAYUID-000271,PAY-930031,INV-220059,2024-04-22,154349.99,Cheque,False
PAYUID-000272,PAY-311036,INV-883172,2020-06-05,657437.43,Credit Card,False
PAYUID-000273,PAY-827318,INV-512120,2024-10-06,50098.09,UPI,False
PAYUID-000274,PAY-276764,INV-512120,2024-11-11,227377.91,Cash,False
PAYUID-000275,PAY-621539,INV-560046,2019-09-07,478178.0,UPI,False
PAYUID-000276,PAY-622857,INV-813014,2023-07-11,1302268.0,Credit Card,False
PAYUID-000277,PAY-811535,INV-959763,2021-04-25,164985.2,Credit Card,False
PAYUID-000278,PAY-762595,INV-959763,2021-05-15,809118.04,UPI,False
PAYUID-000279,PAY-146045,INV-959763,2021-05-14,175947.76,UPI,False
PAYUID-000280,PAY-558650,INV-750210,2020-03-04,1737817.0,Cash,False
PAYUID-000281,PAY-339158,INV-307357,2021-11-15,215488.0,UPI,False
PAYUID-000282,PAY-665007,INV-670523,2023-08-11,3231.99,Cheque,False
PAYUID-000283,PAY-270605,INV-670523,2023-07-23,5830.41,Credit Card,False
PAYUID-000284,PAY-151806,INV-649238,2024-01-28,1457905.8,UPI,False
PAYUID-000285,PAY-336667,INV-786620,2023-07-16,5706.6,Credit Card,False
PAYUID-000286,PAY-545447,INV-754199,2024-01-27,2452474.0,Cheque,False
PAYUID-000287,PAY-543147,INV-365987,2024-11-11,1847609.0,UPI,False
PAYUID-000288,PAY-132175,INV-779136,2022-02-12,178565.09,Cash,False
PAYUID-000289,PAY-590135,INV-779136,2022-03-19,120036.4,Bank Transfer,False
PAYUID-000290,PAY-793833,INV-779136,2022-03-26,108950.51,Cheque,False
PAYUID-000291,PAY-624298,INV-162740,2023-07-06,1135811.48,Bank Transfer,False
PAYUID-000292,PAY-597384,INV-893912,2021-12-22,356319.5,Credit Card,False
PAYUID-000293,PAY-245116,INV-272857,2024-12-05,436992.0,Cheque,False
PAYUID-000294,PAY-431276,INV-533653,2021-10-20,1221616.0,UPI,False
PAYUID-000295,PAY-456523,INV-451975,2022-11-30,2286016.0,Bank Transfer,False
PAYUID-000296,PAY-511547,INV-535899,2024-12-15,797036.8,Cheque,False
PAYUID-000297,PAY-429185,INV-627459,2021-01-02,620727.14,UPI,False
PAYUID-000298,PAY-373017,INV-828281,2024-02-05,2160880.0,Credit Card,False
PAYUID-000299,PAY-520365,INV-149737,2024-03-02,998401.57,Cash,False
PAYUID-000300,PAY-496937,INV-149737,2024-02-04,1229578.43,Credit Card,False
PAYUID-000301,PAY-470376,INV-802656,2020-01-04,3457932.0,Bank Transfer,False
PAYUID-000302,PAY-680359,INV-596171,2022-04-07,850820.0,Credit Card,False
PAYUID-000303,PAY-798714,INV-289217,2021-01-10,170515.4,Cash,False
PAYUID-000304,PAY-706528,INV-902964,2022-02-08,1614899.0,Cash,False
PAYUID-000305,PAY-874760,INV-352127,2023-07-06,3895876.4,Bank Transfer,False
PAYUID-000306,PAY-841086,INV-341259,2021-10-16,3103256.0,UPI,False
PAYUID-000307,PAY-516568,INV-415673,2020-09-22,1194699.0,Credit Card,False
PAYUID-000308,PAY-434673,INV-521672,2019-08-28,1225487.6,Cheque,False
PAYUID-000309,PAY-165069,INV-259216,2025-01-02,2360776.0,Cash,False
PAYUID-000310,PAY-789737,INV-784335,2021-06-14,2810474.0,Cheque,False
PAYUID-000311,PAY-975580,INV-217275,2019-05-28,23173.15,Cash,False
PAYUID-000312,PAY-660788,INV-217275,2019-06-04,780.85,UPI,False
PAYUID-000313,PAY-691347,INV-641457,2020-09-23,1812703.2,UPI,False
PAYUID-000314,PAY-916846,INV-981022,2019-09-07,2891397.8,Credit Card,False
PAYUID-000315,PAY-394089,INV-847653,2023-07-29,2918030.13,Credit Card,False
PAYUID-000316,PAY-726930,INV-713911,2019-05-27,1167170.4,Bank Transfer,False
PAYUID-000317,PAY-514375,INV-623277,2021-08-21,1605959.43,Credit Card,False
PAYUID-000318,PAY-530901,INV-881354,2022-08-25,7877.25,Cash,False
PAYUID-000319,PAY-819165,INV-600537,2021-04-26,1320870.53,Cheque,False
PAYUID-000320,PAY-544605,INV-600537,2021-04-12,764279.47,UPI,False
PAYUID-000321,PAY-596068,INV-768477,2020-05-14,1438623.2,Bank Transfer,False
PAYUID-000322,PAY-781904,INV-844399,2020-05-21,201133.74,UPI,False
PAYUID-000323,PAY-790291,INV-844399,2020-05-06,787808.26,UPI,False
PAYUID-000324,PAY-181056,INV-482847,2023-09-17,2230681.24,Cash,False
PAYUID-000325,PAY-443243,INV-361583,2025-01-22,905589.0,Credit Card,True
PAYUID-000326,PAY-490652,INV-175876,2022-03-01,64619.01,UPI,False
PAYUID-000327,PAY-795342,INV-175876,2022-02-04,283131.99,Bank Transfer,False
PAYUID-000328,PAY-525169,INV-464112,2021-04-20,1451676.2,Credit Card,False
PAYUID-000329,PAY-628246,INV-570985,2020-06-11,2032876.8,Cash,False
PAYUID-000330,PAY-328377,INV-432823,2019-07-12,151582.8,UPI,False
PAYUID-000331,PAY-298625,INV-523025,2019-11-03,11231.73,Credit Card,False
PAYUID-000332,PAY-549577,INV-772546,2024-01-14,61157.36,Cheque,False
