po_id,supplier_id,branch_id,order_date,expected_delivery_date,received_date,po_status,total_cost,total_gst_amount,grand_total
PO-530667,SUP0007,CHN001,2022-07-02,2022-07-14,2022-07-14,Received,1919809.19,537546.5732,2457355.7632
PO-919554,SUP0002,HYD001,2022-09-06,2022-09-16,2022-09-16,Received,10255854.82,2612626.3976000003,12868481.2176
PO-911633,SUP0006,HYD001,2024-03-18,2024-03-28,2024-03-28,Received,1889475.87,340105.6566,2229581.5266
PO-854965,SUP0003,AHM001,2021-10-20,2021-11-05,,Cancelled,29170303.9,7811451.159,36981755.059
PO-749030,SUP0003,HYD001,2022-11-15,2022-12-01,2022-12-01,Received,2192808.31,591999.1828000001,2784807.4928
PO-661699,SUP0001,DEL001,2020-01-25,2020-02-13,2020-02-13,Received,25864795.28,7189611.084399999,33054406.3644
PO-186299,SUP0004,AHM001,2020-08-22,2020-09-09,,Cancelled,6294707.48,1754310.9204000002,8049018.400400001
PO-233383,SUP0002,HYD001,2022-07-01,2022-07-11,2022-07-11,Received,16112245.79,4403474.439200001,20515720.2292
PO-645308,SUP0006,KOL001,2023-12-10,2023-12-20,2023-12-20,Received,8309414.54,2121627.6122,10431042.1522
PO-307760,SUP0004,AHM001,2021-03-08,2021-03-26,2021-03-26,Received,4169478.2,1147237.7880000002,5316715.988000001
PO-473089,SUP0008,PUN001,2019-07-15,2019-08-10,2019-08-10,Received,9992945.47,2584376.2076000003,12577321.6776
PO-308630,SUP0003,AHM001,2023-03-05,2023-03-21,2023-03-21,Received,7132189.66,1746157.6608,8878347.3208
PO-381592,SUP0006,KOL001,2023-07-26,2023-08-05,2023-08-05,Received,10877887.06,2774309.3528,13652196.4128
PO-619102,SUP0002,PUN001,2019-09-24,2019-10-04,2019-10-04,Received,17965580.91,5015593.3168,22981174.2268
PO-442192,SUP0004,DEL001,2022-05-27,2022-06-14,2022-06-18,Received,31553068.790000003,8800823.503200002,40353892.2932
PO-367575,SUP0006,CHN001,2019-09-12,2019-09-22,2019-09-22,Received,5632907.140000001,1556277.2672,7189184.4072
PO-709235,SUP0006,AHM001,2024-03-12,2024-03-22,,Cancelled,3972626.43,773158.1874,4745784.6174
PO-320748,SUP0003,DEL001,2019-11-09,2019-11-25,2019-11-25,Received,3118760.1100000003,873252.8308000001,3992012.9408
PO-342933,SUP0005,KOL001,2020-06-11,2020-07-09,2020-07-09,Received,6916892.68,1887721.5824,8804614.2624
PO-874633,SUP0001,AHM001,2021-04-16,2021-05-05,2021-05-05,Received,6917170.24,1903964.1312,8821134.3712
PO-977769,SUP0003,AHM001,2020-06-06,2020-06-22,2020-06-23,Received,3055965.08,855670.2224000001,3911635.3024
PO-404272,SUP0001,HYD001,2024-12-11,2024-12-30,2025-01-03,Received,27174212.64,7380072.889200001,34554285.5292
PO-177421,SUP0002,CHN001,2024-02-15,2024-02-25,2024-02-25,Received,35974495.13,9796467.2954,45770962.4254
PO-216874,SUP0003,KOL001,2020-04-16,2020-05-02,,Cancelled,12923324.31,3600167.0958,16523491.405799998
PO-261469,SUP0007,DEL001,2023-04-13,2023-04-25,2023-04-25,Received,31577206.750000004,8535465.206,40112671.95600001
PO-241987,SUP0006,KOL001,2020-12-04,2020-12-14,2020-12-13,Received,33926889.2,9492060.876000002,43418950.076
PO-266975,SUP0005,HYD001,2021-05-15,2021-06-12,2021-06-12,Received,16916890.93,4716563.3974,21633454.3274
PO-420356,SUP0008,KOL001,2024-09-26,2024-10-22,2024-10-22,Received,6015672.84,1684388.3952,7700061.235200001
PO-209076,SUP0007,PUN001,2024-11-24,2024-12-06,2024-12-06,Received,58734400.48,16367245.0524,75101645.5324
PO-542719,SUP0006,AHM001,2020-05-13,2020-05-23,,Cancelled,7220245.39,2010754.8042,9231000.1942
PO-258089,SUP0006,PUN001,2019-03-23,2019-04-02,2019-04-06,Received,21240108.01,5862430.299800001,27102538.309800003
PO-889847,SUP0003,DEL001,2020-09-22,2020-10-08,,Cancelled,6794071.81,1814970.0168000003,8609041.8268
PO-786125,SUP0002,CHN001,2021-01-03,2021-01-13,2021-01-13,Received,7699607.31,2139471.3268000004,9839078.6368
PO-750357,SUP0007,PUN001,2023-02-07,2023-02-19,2023-02-21,Received,7665699.08,2146395.7424,9812094.8224
PO-139869,SUP0008,DEL001,2020-09-06,2020-10-02,2020-10-02,Received,2433151.44,681282.4032000001,3114433.8432
PO-941511,SUP0007,AHM001,2022-05-23,2022-06-04,2022-06-04,Received,1589999.36,426821.1968000001,2016820.5568
PO-370941,SUP0002,AHM001,2024-10-20,2024-10-30,,Cancelled,10427284.21,2916774.418800001,13344058.6288
PO-562305,SUP0004,PUN001,2023-03-28,2023-04-15,2023-04-15,Received,18932999.79,5286590.018200001,24219589.8082
PO-152118,SUP0001,HYD001,2023-02-05,2023-02-24,,Cancelled,10118119.63,2823984.4294000003,12942104.0594
PO-437833,SUP0005,DEL001,2020-06-19,2020-07-17,2020-07-17,Received,8901941.610000001,2437269.4998000003,11339211.1098
PO-831213,SUP0006,KOL001,2022-01-21,2022-01-31,2022-01-31,Received,12828918.52,3572462.8986000004,16401381.4186
PO-242699,SUP0008,DEL001,2021-08-29,2021-09-24,2021-09-24,Received,1455632.06,262013.7708,1717645.8308
PO-390725,SUP0008,CHN001,2021-01-08,2021-02-03,2021-02-03,Received,4509142.870000001,1246154.2846,5755297.154600001
PO-978867,SUP0003,AHM001,2020-11-28,2020-12-14,2020-12-14,Received,745257.88,134146.41840000002,879404.2984
PO-402581,SUP0002,CHN001,2024-07-15,2024-07-25,2024-07-25,Received,2258146.91,626703.2048000001,2884850.1148
PO-985919,SUP0004,HYD001,2022-08-22,2022-09-09,2022-09-09,Received,126846.66,22832.3988,149679.0588
PO-150117,SUP0008,PUN001,2022-10-20,2022-11-15,2022-11-15,Received,12830378.22,3466784.4266000004,16297162.6466
PO-452675,SUP0002,DEL001,2022-12-01,2022-12-11,,Cancelled,32873607.14,9193312.7792,42066919.9192
PO-619430,SUP0008,KOL001,2022-05-08,2022-06-03,2022-06-03,Received,5848468.55,1419030.7060000002,7267499.256000001
PO-219386,SUP0003,KOL001,2019-01-08,2019-01-24,2019-01-24,Received,4773566.14,1277621.1642,6051187.3042
PO-770487,SUP0007,AHM001,2024-09-04,2024-09-16,,Cancelled,18304425.85,4887044.121,23191469.971
PO-502524,SUP0004,HYD001,2020-03-01,2020-03-19,2020-03-19,Received,2170571.71,598695.0588000001,2769266.7688
PO-376891,SUP0001,PUN001,2022-09-26,2022-10-15,,Cancelled,8621541.43,2067126.6904,10688668.1204
PO-302753,SUP0007,PUN001,2024-04-30,2024-05-12,2024-05-12,Received,4073091.36,1058555.2458,5131646.6058
PO-310596,SUP0003,HYD001,2019-01-19,2019-02-04,,Cancelled,16851691.27,4689856.5256,21541547.7956
PO-504513,SUP0004,AHM001,2023-09-20,2023-10-08,2023-10-08,Received,26662061.91,7389942.7358,34052004.6458
PO-379238,SUP0007,KOL001,2023-08-27,2023-09-08,,Cancelled,10366953.89,2866361.6252,13233315.5152
PO-826445,SUP0001,AHM001,2024-11-08,2024-11-27,2024-11-27,Received,11875886.34,3023803.443200001,14899689.7832
PO-968495,SUP0003,HYD001,2024-07-17,2024-08-02,,Cancelled,6265978.600000001,1511873.613,7777852.212999999
PO-804614,SUP0006,KOL001,2019-02-22,2019-03-04,2019-03-04,Received,14920562.980000002,3868112.718400001,18788675.69840001
PO-171803,SUP0003,HYD001,2019-06-16,2019-07-02,2019-07-02,Received,5803849.68,1552609.1504,7356458.830399999
PO-785077,SUP0002,CHN001,2022-04-25,2022-05-05,2022-05-05,Received,17610770.729999997,4918491.650400001,22529262.3804
PO-328256,SUP0005,PUN001,2020-01-28,2020-02-25,2020-02-25,Received,9753327.390000002,2708965.764200001,12462293.154200004
PO-401575,SUP0004,DEL001,2019-05-10,2019-05-28,2019-05-28,Received,2285215.31,639860.2868000001,2925075.5968000004
PO-922780,SUP0002,KOL001,2023-02-28,2023-03-10,,Cancelled,18003354.48,4989239.964400001,22992594.4444
PO-943207,SUP0008,PUN001,2021-12-19,2022-01-14,2022-01-14,Received,4829465.03,1283528.5234,6112993.553400001
PO-371618,SUP0001,DEL001,2023-05-18,2023-06-06,2023-06-06,Received,25203524.67,7006000.835600001,32209525.5056
PO-849630,SUP0004,DEL001,2024-12-29,2025-01-16,2025-01-16,Received,22245890.15,6221345.898000002,28467236.048000004
PO-896708,SUP0001,DEL001,2019-05-17,2019-06-05,2019-06-05,Received,12137588.64,3347282.2362,15484870.8762
PO-797654,SUP0003,CHN001,2022-05-02,2022-05-18,2022-05-18,Received,31158202.28,8668656.762400001,39826859.0424
PO-403704,SUP0008,DEL001,2020-09-14,2020-10-10,2020-10-08,Received,963385.08,173409.31439999997,1136794.3944
PO-897438,SUP0008,HYD001,2020-04-04,2020-04-30,,Cancelled,10681476.86,2990813.5208000005,13672290.3808
PO-723083,SUP0006,PUN001,2021-02-02,2021-02-12,2021-02-12,Received,17254839.009999998,4617801.904800001,21872640.9148
PO-474736,SUP0005,CHN001,2024-07-31,2024-08-28,,Cancelled,754617.18,135831.0924,890448.2723999999
PO-647118,SUP0002,HYD001,2022-11-29,2022-12-09,2022-12-09,Received,26885034.15,7417222.195000001,34302256.345000006
PO-572149,SUP0004,AHM001,2022-01-27,2022-02-14,2022-02-14,Received,18086.4,3255.552,21341.952
PO-220215,SUP0008,AHM001,2019-06-14,2019-07-10,2019-07-10,Received,3885203.35,1046892.085,4932095.4350000005
PO-939336,SUP0007,CHN001,2022-12-16,2022-12-28,2022-12-28,Received,1288627.44,360815.6832,1649443.1232
PO-187384,SUP0002,HYD001,2021-08-09,2021-08-19,2021-08-19,Received,6011160.51,1633169.8578,7644330.3678
PO-596258,SUP0008,AHM001,2022-12-05,2022-12-31,2022-12-31,Received,14768794.73,4120975.0764,18889769.8064
PO-780201,SUP0008,AHM001,2020-12-13,2021-01-08,2021-01-08,Received,16566733.33,4527611.6494,21094344.9794
PO-691475,SUP0008,KOL001,2019-11-06,2019-12-02,2019-12-02,Received,18625899.34,5122837.3542,23748736.6942
PO-616491,SUP0001,HYD001,2019-10-13,2019-11-01,2019-11-01,Received,23955637.59,6588841.432200001,30544479.022200003
PO-871581,SUP0003,AHM001,2023-10-01,2023-10-17,2023-10-17,Received,15224350.55,4262818.154,19487168.704000004
PO-787386,SUP0008,PUN001,2024-03-16,2024-04-11,2024-04-11,Received,64678.32,11642.0976,76320.4176
PO-841168,SUP0005,KOL001,2024-12-02,2024-12-30,2024-12-30,Received,5542229.57,1541967.2856000003,7084196.855600001
PO-184847,SUP0007,KOL001,2019-05-11,2019-05-23,2019-05-23,Received,10355623.04,2835879.0342,13191502.0742
PO-899899,SUP0008,PUN001,2021-03-06,2021-04-01,2021-04-01,Received,3468601.21,857648.5218,4326249.7318
PO-867260,SUP0006,DEL001,2020-03-19,2020-03-29,2020-03-29,Received,7571608.88,2120050.4864,9691659.3664
PO-423111,SUP0007,KOL001,2024-05-14,2024-05-26,2024-05-26,Received,34944070.48,9726653.9504,44670724.4304
PO-810309,SUP0008,PUN001,2022-11-13,2022-12-09,2022-12-09,Received,14291606.180000002,3924217.419400001,18215823.599400003
PO-444144,SUP0004,DEL001,2023-11-26,2023-12-14,2023-12-14,Received,21168091.41,5607464.8698,26775556.2798
PO-125796,SUP0007,CHN001,2023-06-03,2023-06-15,2023-06-15,Received,711336.6199999999,128040.5916,839377.2115999999
PO-767073,SUP0003,KOL001,2024-11-12,2024-11-28,2024-11-28,Received,23560473.44,6531906.267200001,30092379.7072
PO-829566,SUP0001,HYD001,2023-08-04,2023-08-23,2023-08-29,Received,21203268.41,5926975.122800001,27130243.532800004
PO-174432,SUP0002,CHN001,2019-04-28,2019-05-08,2019-05-08,Received,4086250.98,931001.4314,5017252.411400001
PO-148378,SUP0008,HYD001,2024-04-04,2024-04-30,2024-04-30,Received,11756287.18,3217107.8104,14973394.9904
PO-392615,SUP0006,CHN001,2019-10-11,2019-10-21,2019-10-28,Received,22089656.87,5950969.4896,28040626.3596
PO-407394,SUP0001,HYD001,2024-05-20,2024-06-08,2024-06-08,Received,9061640.42,2514906.2426,11576546.6626
PO-254615,SUP0006,HYD001,2020-09-20,2020-09-30,2020-10-02,Received,6784225.66,1715686.8838,8499912.5438
PO-937753,SUP0005,DEL001,2020-10-30,2020-11-27,2020-12-04,Received,8291088.56,2275446.6048000003,10566535.1648
PO-810929,SUP0002,AHM001,2021-03-26,2021-04-05,2021-04-02,Received,11124693.79,2984899.5482000005,14109593.3382
PO-882084,SUP0008,AHM001,2020-12-26,2021-01-21,2021-01-21,Received,7579257.899999999,1978855.932,9558113.832
PO-666632,SUP0008,PUN001,2024-08-05,2024-08-31,2024-08-31,Received,25276992.94,6809396.7782000005,32086389.7182
PO-512244,SUP0001,CHN001,2022-11-24,2022-12-13,2022-12-13,Received,13906694.27,3843528.011600001,17750222.281600002
PO-394455,SUP0006,DEL001,2019-05-02,2019-05-12,,Cancelled,1689724.61,458534.70980000007,2148259.3198
PO-220759,SUP0008,AHM001,2019-11-01,2019-11-27,2019-11-27,Received,20063342.84,5443784.9522,25507127.7922
PO-985731,SUP0004,KOL001,2019-04-01,2019-04-19,2019-04-19,Received,38241187.72,10656506.9306,48897694.6506
PO-619533,SUP0005,HYD001,2020-08-25,2020-09-22,,Cancelled,30110553.7,8329856.896000001,38440410.596
PO-616106,SUP0003,AHM001,2022-04-01,2022-04-17,2022-04-17,Received,25221150.16,6954641.976800001,32175792.1368
PO-448240,SUP0008,DEL001,2021-10-24,2021-11-19,2021-11-19,Received,3441475.85,948916.088,4390391.938
PO-312531,SUP0001,DEL001,2023-03-29,2023-04-17,,Cancelled,4790768.03,1308323.9974000002,6099092.0274
PO-598493,SUP0003,CHN001,2024-01-03,2024-01-19,2024-01-19,Received,1639561.7000000002,459077.27600000007,2098638.9760000003
PO-806272,SUP0008,CHN001,2020-07-31,2020-08-26,2020-08-26,Received,58227.82,10481.0076,68708.8276
PO-318974,SUP0006,HYD001,2020-01-04,2020-01-14,2020-01-14,Received,3892072.89,1020180.9632,4912253.8532
PO-245775,SUP0001,PUN001,2021-05-05,2021-05-24,2021-05-23,Received,286712.0,51608.16,338320.16
PO-501518,SUP0003,DEL001,2020-03-21,2020-04-06,2020-04-06,Received,36518084.03,9863522.1444,46381606.1744
PO-636385,SUP0006,KOL001,2023-01-25,2023-02-04,2023-02-08,Received,1538818.4,413200.976,1952019.376
PO-728300,SUP0002,DEL001,2021-05-16,2021-05-26,2021-05-26,Received,2491862.2,697721.416,3189583.6159999995
PO-972366,SUP0007,AHM001,2024-06-11,2024-06-23,2024-06-23,Received,9245478.67,2588734.0276,11834212.6976
PO-856367,SUP0002,HYD001,2021-06-29,2021-07-09,2021-07-09,Received,2190294.0700000003,595226.6936000001,2785520.7636
PO-615285,SUP0008,CHN001,2023-03-10,2023-04-05,2023-04-10,Received,24955637.03,6961885.5584,31917522.5884
PO-748353,SUP0007,CHN001,2020-02-10,2020-02-22,2020-02-22,Received,35166273.47,9683086.187600002,44849359.6576
PO-803166,SUP0004,AHM001,2020-07-09,2020-07-27,2020-08-03,Received,565955.2,158467.456,724422.656
PO-499151,SUP0003,KOL001,2019-11-01,2019-11-17,,Cancelled,12858210.4,3438934.909,16297145.309
PO-496862,SUP0003,HYD001,2024-08-01,2024-08-17,2024-08-17,Received,27823163.5,7784155.950000001,35607319.45
PO-439738,SUP0003,AHM001,2022-02-10,2022-02-26,2022-03-04,Received,4779266.44,1338194.6032000002,6117461.0432
PO-257796,SUP0008,PUN001,2022-07-05,2022-07-31,2022-07-31,Received,15976683.33,4324851.6634,20301534.9934
