so_id,line_number,product_id,quantity,unit_price,gst_rate,line_total,gst_amount,line_grand_total
SO-299557,4,P011,3,27600,28,82800,23184.000000000004,105984.0
SO-299557,5,P018,7,11300,28,79100,22148.000000000004,101248.0
SO-299557,6,P003,5,1250,18,6250,1125.0,7375.0
SO-299557,7,P022,4,16900,28,67600,18928.0,86528.0
SO-299557,8,P011,3,27600,28,82800,23184.000000000004,105984.0
SO-299557,9,P007,20,1450,18,29000,5220.0,34220.0
SO-299557,10,P006,6,11200,28,67200,18816.0,86016.0
SO-299557,11,P030,2,21900,28,43800,12264.000000000002,56064.0
SO-508292,1,P017,1,520,18,520,93.6,613.6
SO-508292,2,P010,4,34900,28,139600,39088.00000000001,178688.0
SO-508292,3,P008,4,580,18,2320,417.6,2737.6
SO-508292,4,P008,14,580,18,8120,1461.6,9581.6
SO-508292,5,P015,14,119000,28,1666000,466480.00000000006,2132480.0
SO-508292,6,P004,8,39800,28,318400,89152.00000000001,407552.0
SO-508292,7,P021,7,46200,28,323400,90552.0,413952.0
SO-508292,8,P024,15,10300,28,154500,43260.00000000001,197760.0
SO-508292,9,P001,20,24500,28,490000,137200.0,627200.0
SO-508292,10,P029,4,3950,18,15800,2844.0,18644.0
SO-527363,1,P005,12,8450,28,101400,28392.000000000004,129792.0
SO-527363,2,P001,17,24500,28,416500,116620.0,533120.0
SO-527363,3,P023,15,12950,28,194250,54390.00000000001,248640.0
SO-527363,4,P005,13,8450,28,109850,30758.000000000004,140608.0
SO-527363,5,P010,16,34900,28,558400,156352.00000000003,714752.0
SO-527363,6,P006,2,11200,28,22400,6272.000000000001,28672.0
SO-527363,7,P019,20,39800,28,796000,222880.00000000003,1018880.0
SO-527363,8,P019,8,39800,28,318400,89152.00000000001,407552.0
SO-527363,9,P022,7,16900,28,118300,33124.0,151424.0
SO-720172,1,P001,16,24500,28,392000,109760.0,501760.0
SO-720172,2,P017,18,520,18,9360,1684.8,11044.8
SO-720172,3,P016,13,10200,18,132600,23868.0,156468.0
SO-720172,4,P025,10,7850,18,78500,14130.0,92630.0
SO-720172,5,P028,4,2250,18,9000,1620.0,10620.0
SO-720172,6,P003,15,1250,18,18750,3375.0,22125.0
SO-720172,7,P025,13,7850,18,102050,18369.0,120419.0
SO-720172,8,P021,14,46200,28,646800,181104.00000000003,827904.0
SO-720172,9,P006,2,11200,28,22400,6272.000000000001,28672.0
SO-494369,1,P009,5,14900,28,74500,20860.000000000004,95360.0
SO-494369,2,P001,19,24500,28,465500,130340.0,595840.0
SO-494369,3,P029,14,3950,18,55300,9954.0,65254.0
SO-494369,4,P017,13,520,18,6760,1216.8,7976.8
SO-494369,5,P002,11,720,18,7920,1425.6,9345.6
SO-494369,6,P002,6,720,18,4320,777.6,5097.6
SO-494369,7,P020,11,1150,18,12650,2277.0,14927.0
SO-494369,8,P003,13,1250,18,16250,2925.0,19175.0
SO-494369,9,P010,5,34900,28,174500,48860.00000000001,223360.0
SO-494369,10,P015,14,119000,28,1666000,466480.00000000006,2132480.0
SO-494369,11,P012,9,2450,28,22050,6174.000000000001,28224.0
SO-494369,12,P014,16,83500,28,1336000,374080.00000000006,1710080.0
SO-485921,1,P019,9,39800,28,358200,100296.0,458496.0
SO-485921,2,P017,1,520,18,520,93.6,613.6
SO-485921,3,P020,14,1150,18,16100,2898.0,18998.0
SO-485921,4,P028,8,2250,18,18000,3240.0,21240.0
SO-485921,5,P023,3,12950,28,38850,10878.000000000002,49728.0
SO-485921,6,P001,17,24500,28,416500,116620.0,533120.0
SO-485921,7,P030,13,21900,28,284700,79716.00000000001,364416.0
SO-485921,8,P017,4,520,18,2080,374.4,2454.4
SO-485921,9,P015,9,119000,28,1071000,299880.0,1370880.0
SO-485921,10,P022,19,16900,28,321100,89908.00000000001,411008.0
SO-485921,11,P016,9,10200,18,91800,16524.0,108324.0
SO-485921,12,P017,20,520,18,10400,1872.0,12272.0
SO-889434,1,P010,9,34900,28,314100,87948.00000000001,402048.0
SO-889434,2,P004,10,39800,28,398000,111440.0,509440.0
SO-889434,3,P013,13,1450,18,18850,3393.0,22243.0
SO-889434,4,P017,16,520,18,8320,1497.6,9817.6
SO-889434,5,P012,1,2450,28,2450,686.0000000000001,3136.0
SO-889434,6,P006,6,11200,28,67200,18816.0,86016.0
SO-889434,7,P030,14,21900,28,306600,85848.00000000001,392448.0
SO-889434,8,P012,14,2450,28,34300,9604.000000000002,43904.0
SO-889434,9,P026,13,310,18,4030,725.4,4755.4
SO-889434,10,P025,17,7850,18,133450,24021.0,157471.0
SO-889434,11,P028,1,2250,18,2250,405.0,2655.0
SO-889434,12,P029,1,3950,18,3950,711.0,4661.0
SO-835154,1,P002,4,720,18,2880,518.4,3398.4
SO-835154,2,P016,11,10200,18,112200,20196.0,132396.0
SO-835154,3,P004,20,39800,28,796000,222880.00000000003,1018880.0
SO-835154,4,P020,5,1150,18,5750,1035.0,6785.0
SO-835154,5,P025,12,7850,18,94200,16956.0,111156.0
SO-835154,6,P013,19,1450,18,27550,4959.0,32509.0
SO-835154,7,P025,1,7850,18,7850,1413.0,9263.0
SO-835154,8,P003,4,1250,18,5000,900.0,5900.0
SO-835154,9,P014,16,83500,28,1336000,374080.00000000006,1710080.0
SO-835154,10,P018,12,11300,28,135600,37968.0,173568.0
SO-802509,1,P024,12,10300,28,123600,34608.0,158208.0
SO-802509,2,P002,16,720,18,11520,2073.6,13593.6
SO-802509,3,P027,5,480,18,2400,432.0,2832.0
SO-802509,4,P008,14,580,18,8120,1461.6,9581.6
SO-802509,5,P006,9,11200,28,100800,28224.000000000004,129024.0
SO-802509,6,P008,7,580,18,4060,730.8,4790.8
SO-802509,7,P007,11,1450,18,15950,2871.0,18821.0
SO-802509,8,P028,1,2250,18,2250,405.0,2655.0
SO-802509,9,P021,6,46200,28,277200,77616.00000000001,354816.0
SO-802509,10,P027,1,480,18,480,86.39999999999999,566.4
SO-802509,11,P010,11,34900,28,383900,107492.0,491392.0
SO-802509,12,P001,2,24500,28,49000,13720.000000000002,62720.0
SO-627758,1,P006,5,11200,28,56000,15680.000000000002,71680.0
SO-627758,2,P025,4,7850,18,31400,5652.0,37052.0
SO-679314,1,P021,3,46200,28,138600,38808.00000000001,177408.0
SO-679314,2,P005,6,8450,28,50700,14196.000000000002,64896.0
SO-679314,3,P013,12,1450,18,17400,3132.0,20532.0
SO-679314,4,P026,2,310,18,620,111.6,731.6
SO-344627,1,P015,13,119000,28,1547000,433160.00000000006,1980160.0
SO-344627,2,P022,9,16900,28,152100,42588.00000000001,194688.0
SO-344627,3,P024,19,10300,28,195700,54796.00000000001,250496.0
SO-344627,4,P023,8,12950,28,103600,29008.000000000004,132608.0
SO-344627,5,P001,12,24500,28,294000,82320.00000000001,376320.0
SO-344627,6,P025,12,7850,18,94200,16956.0,111156.0
SO-201505,1,P027,15,480,18,7200,1296.0,8496.0
SO-201505,2,P002,12,720,18,8640,1555.2,10195.2
SO-201505,3,P011,18,27600,28,496800,139104.0,635904.0
SO-201505,4,P002,18,720,18,12960,2332.8,15292.8
SO-201505,5,P008,5,580,18,2900,522.0,3422.0
SO-201505,6,P028,5,2250,18,11250,2025.0,13275.0
SO-201505,7,P004,6,39800,28,238800,66864.0,305664.0
SO-201505,8,P027,15,480,18,7200,1296.0,8496.0
SO-201505,9,P013,1,1450,18,1450,261.0,1711.0
SO-201505,10,P001,3,24500,28,73500,20580.000000000004,94080.0
SO-256526,1,P004,14,39800,28,557200,156016.00000000003,713216.0
SO-256526,2,P016,20,10200,18,204000,36720.0,240720.0
SO-256526,3,P007,18,1450,18,26100,4698.0,30798.0
SO-256526,4,P001,19,24500,28,465500,130340.0,595840.0
SO-635095,1,P021,20,46200,28,924000,258720.00000000003,1182720.0
SO-635095,2,P005,9,8450,28,76050,21294.000000000004,97344.0
SO-635095,3,P017,2,520,18,1040,187.2,1227.2
SO-635095,4,P009,20,14900,28,298000,83440.00000000001,381440.0
SO-635095,5,P026,10,310,18,3100,558.0,3658.0
SO-635095,6,P007,11,1450,18,15950,2871.0,18821.0
SO-635095,7,P003,7,1250,18,8750,1575.0,10325.0
SO-532392,1,P006,11,11200,28,123200,34496.0,157696.0
SO-532392,2,P002,14,720,18,10080,1814.4,11894.4
SO-532392,3,P025,12,7850,18,94200,16956.0,111156.0
SO-532392,4,P022,9,16900,28,152100,42588.00000000001,194688.0
SO-532392,5,P004,6,39800,28,238800,66864.0,305664.0
SO-532392,6,P006,8,11200,28,89600,25088.000000000004,114688.0
SO-532392,7,P014,1,83500,28,83500,23380.000000000004,106880.0
SO-532392,8,P010,11,34900,28,383900,107492.0,491392.0
SO-532392,9,P023,14,12950,28,181300,50764.00000000001,232064.0
SO-532392,10,P010,16,34900,28,558400,156352.00000000003,714752.0
SO-142238,1,P005,12,8450,28,101400,28392.000000000004,129792.0
SO-142238,2,P007,10,1450,18,14500,2610.0,17110.0
SO-142238,3,P029,14,3950,18,55300,9954.0,65254.0
SO-142238,4,P003,7,1250,18,8750,1575.0,10325.0
SO-142238,5,P023,10,12950,28,129500,36260.0,165760.0
SO-142238,6,P020,5,1150,18,5750,1035.0,6785.0
SO-142238,7,P018,9,11300,28,101700,28476.000000000004,130176.0
SO-142238,8,P010,16,34900,28,558400,156352.00000000003,714752.0
SO-142238,9,P020,12,1150,18,13800,2484.0,16284.0
SO-142238,10,P006,14,11200,28,156800,43904.00000000001,200704.0
SO-142238,11,P028,4,2250,18,9000,1620.0,10620.0
SO-875606,1,P012,3,2450,28,7350,2058.0,9408.0
SO-136658,1,P003,10,1250,18,12500,2250.0,14750.0
SO-136658,2,P011,4,27600,28,110400,30912.000000000004,141312.0
SO-176390,1,P003,1,1250,18,1250,225.0,1475.0
SO-176390,2,P012,2,2450,28,4900,1372.0000000000002,6272.0
SO-176390,3,P018,19,11300,28,214700,60116.00000000001,274816.0
SO-176390,4,P019,5,39800,28,199000,55720.00000000001,254720.0
SO-176390,5,P012,5,2450,28,12250,3430.0000000000005,15680.0
SO-176390,6,P012,11,2450,28,26950,7546.000000000001,34496.0
SO-478919,1,P004,6,39800,28,238800,66864.0,305664.0
SO-478919,2,P028,13,2250,18,29250,5265.0,34515.0
SO-478919,3,P016,10,10200,18,102000,18360.0,120360.0
SO-478919,4,P005,12,8450,28,101400,28392.000000000004,129792.0
SO-478919,5,P015,20,119000,28,2380000,666400.0000000001,3046400.0
SO-478919,6,P027,3,480,18,1440,259.2,1699.2
SO-209359,1,P017,3,520,18,1560,280.8,1840.8
SO-209359,2,P018,11,11300,28,124300,34804.0,159104.0
SO-209359,3,P002,1,720,18,720,129.6,849.6
SO-209359,4,P007,19,1450,18,27550,4959.0,32509.0
SO-495436,1,P016,20,10200,18,204000,36720.0,240720.0
SO-495436,2,P016,20,10200,18,204000,36720.0,240720.0
SO-482833,1,P015,10,119000,28,1190000,333200.00000000006,1523200.0
SO-482833,2,P006,17,11200,28,190400,53312.00000000001,243712.0
SO-482833,3,P016,13,10200,18,132600,23868.0,156468.0
SO-482833,4,P003,9,1250,18,11250,2025.0,13275.0
SO-587867,1,P030,18,21900,28,394200,110376.0,504576.0
SO-587867,2,P017,13,520,18,6760,1216.8,7976.8
SO-587867,3,P008,7,580,18,4060,730.8,4790.8
SO-587867,4,P018,3,11300,28,33900,9492.0,43392.0
SO-587867,5,P006,6,11200,28,67200,18816.0,86016.0
SO-587867,6,P020,17,1150,18,19550,3519.0,23069.0
SO-587867,7,P023,9,12950,28,116550,32634.000000000004,149184.0
SO-392298,1,P021,20,46200,28,924000,258720.00000000003,1182720.0
SO-392298,2,P008,9,580,18,5220,939.6,6159.6
SO-392298,3,P018,12,11300,28,135600,37968.0,173568.0
SO-392298,4,P001,8,24500,28,196000,54880.00000000001,250880.0
SO-676819,1,P006,9,11200,28,100800,28224.000000000004,129024.0
SO-676819,2,P005,14,8450,28,118300,33124.0,151424.0
SO-676819,3,P013,13,1450,18,18850,3393.0,22243.0
SO-676819,4,P004,10,39800,28,398000,111440.0,509440.0
SO-676819,5,P027,14,480,18,6720,1209.6,7929.6
SO-676819,6,P001,15,24500,28,367500,102900.0,470400.0
SO-676819,7,P021,18,46200,28,831600,232848.00000000003,1064448.0
SO-676819,8,P001,2,24500,28,49000,13720.000000000002,62720.0
SO-174126,1,P026,4,310,18,1240,223.2,1463.2
SO-174126,2,P004,15,39800,28,597000,167160.00000000003,764160.0
SO-174126,3,P002,7,720,18,5040,907.2,5947.2
SO-756981,1,P010,2,34900,28,69800,19544.000000000004,89344.0
SO-756981,2,P022,1,16900,28,16900,4732.0,21632.0
SO-756981,3,P014,20,83500,28,1670000,467600.00000000006,2137600.0
SO-756981,4,P008,3,580,18,1740,313.2,2053.2
SO-756981,5,P018,12,11300,28,135600,37968.0,173568.0
SO-315888,1,P025,16,7850,18,125600,22608.0,148208.0
SO-315888,2,P017,3,520,18,1560,280.8,1840.8
SO-315888,3,P005,3,8450,28,25350,7098.000000000001,32448.0
SO-315888,4,P029,11,3950,18,43450,7821.0,51271.0
SO-315888,5,P010,13,34900,28,453700,127036.0,580736.0
SO-315888,6,P022,7,16900,28,118300,33124.0,151424.0
SO-315888,7,P025,19,7850,18,149150,26847.0,175997.0
SO-315888,8,P011,12,27600,28,331200,92736.0,423936.0
SO-315888,9,P017,16,520,18,8320,1497.6,9817.6
SO-151061,1,P002,5,720,18,3600,648.0,4248.0
SO-151061,2,P010,8,34900,28,279200,78176.00000000001,357376.0
SO-151061,3,P014,3,83500,28,250500,70140.0,320640.0
SO-542377,1,P011,14,27600,28,386400,108192.0,494592.0
SO-542377,2,P007,1,1450,18,1450,261.0,1711.0
SO-542377,3,P028,12,2250,18,27000,4860.0,31860.0
SO-542377,4,P002,12,720,18,8640,1555.2,10195.2
SO-542377,5,P027,18,480,18,8640,1555.2,10195.2
SO-542377,6,P007,3,1450,18,4350,783.0,5133.0
SO-542377,7,P014,10,83500,28,835000,233800.00000000003,1068800.0
SO-542377,8,P015,8,119000,28,952000,266560.0,1218560.0
SO-542377,9,P001,10,24500,28,245000,68600.0,313600.0
SO-542377,10,P006,5,11200,28,56000,15680.000000000002,71680.0
SO-542377,11,P030,14,21900,28,306600,85848.00000000001,392448.0
SO-195425,1,P028,5,2250,18,11250,2025.0,13275.0
SO-195425,2,P011,1,27600,28,27600,7728.000000000001,35328.0
SO-195425,3,P013,5,1450,18,7250,1305.0,8555.0
SO-195425,4,P004,5,39800,28,199000,55720.00000000001,254720.0
SO-195425,5,P004,8,39800,28,318400,89152.00000000001,407552.0
SO-195425,6,P012,19,2450,28,46550,13034.000000000002,59584.0
SO-195425,7,P016,7,10200,18,71400,12852.0,84252.0
SO-195425,8,P009,18,14900,28,268200,75096.0,343296.0
SO-913956,1,P001,18,24500,28,441000,123480.0,564480.0
SO-913956,2,P017,13,520,18,6760,1216.8,7976.8
SO-913956,3,P004,13,39800,28,517400,144872.0,662272.0
SO-913956,4,P013,2,1450,18,2900,522.0,3422.0
SO-913956,5,P005,7,8450,28,59150,16562.0,75712.0
SO-913956,6,P012,18,2450,28,44100,12348.000000000002,56448.0
SO-913956,7,P018,13,11300,28,146900,41132.00000000001,188032.0
SO-913956,8,P025,15,7850,18,117750,21195.0,138945.0
SO-903964,1,P027,5,480,18,2400,432.0,2832.0
SO-903964,2,P030,11,21900,28,240900,67452.0,308352.0
SO-903964,3,P010,2,34900,28,69800,19544.000000000004,89344.0
SO-903964,4,P030,12,21900,28,262800,73584.0,336384.0
SO-903964,5,P014,15,83500,28,1252500,350700.00000000006,1603200.0
SO-903964,6,P009,18,14900,28,268200,75096.0,343296.0
SO-903964,7,P027,13,480,18,6240,1123.2,7363.2
SO-903964,8,P007,2,1450,18,2900,522.0,3422.0
SO-453434,1,P007,6,1450,18,8700,1566.0,10266.0
SO-453434,2,P020,10,1150,18,11500,2070.0,13570.0
SO-453434,3,P028,13,2250,18,29250,5265.0,34515.0
SO-453434,4,P014,17,83500,28,1419500,397460.00000000006,1816960.0
SO-453434,5,P029,12,3950,18,47400,8532.0,55932.0
SO-453434,6,P004,17,39800,28,676600,189448.00000000003,866048.0
SO-453434,7,P012,8,2450,28,19600,5488.000000000001,25088.0
SO-453434,8,P030,8,21900,28,175200,49056.00000000001,224256.0
SO-708042,1,P025,1,7850,18,7850,1413.0,9263.0
SO-708042,2,P013,10,1450,18,14500,2610.0,17110.0
SO-708042,3,P014,7,83500,28,584500,163660.00000000003,748160.0
SO-708042,4,P024,15,10300,28,154500,43260.00000000001,197760.0
SO-708042,5,P012,13,2450,28,31850,8918.0,40768.0
SO-708042,6,P007,19,1450,18,27550,4959.0,32509.0
SO-708042,7,P015,9,119000,28,1071000,299880.0,1370880.0
SO-708042,8,P027,10,480,18,4800,864.0,5664.0
SO-708042,9,P002,10,720,18,7200,1296.0,8496.0
SO-949415,1,P003,13,1250,18,16250,2925.0,19175.0
SO-949415,2,P005,10,8450,28,84500,23660.000000000004,108160.0
SO-949415,3,P016,10,10200,18,102000,18360.0,120360.0
SO-949415,4,P029,13,3950,18,51350,9243.0,60593.0
SO-949415,5,P024,6,10300,28,61800,17304.0,79104.0
SO-949415,6,P024,16,10300,28,164800,46144.00000000001,210944.0
SO-949415,7,P006,7,11200,28,78400,21952.000000000004,100352.0
SO-388923,1,P017,4,520,18,2080,374.4,2454.4
SO-388923,2,P007,10,1450,18,14500,2610.0,17110.0
SO-388923,3,P014,7,83500,28,584500,163660.00000000003,748160.0
SO-388923,4,P023,7,12950,28,90650,25382.000000000004,116032.0
SO-388923,5,P027,16,480,18,7680,1382.4,9062.4
SO-388923,6,P018,18,11300,28,203400,56952.00000000001,260352.0
SO-388923,7,P029,1,3950,18,3950,711.0,4661.0
SO-388923,8,P027,8,480,18,3840,691.1999999999999,4531.2
SO-388923,9,P025,17,7850,18,133450,24021.0,157471.0
SO-388923,10,P012,10,2450,28,24500,6860.000000000001,31360.0
SO-388923,11,P013,4,1450,18,5800,1044.0,6844.0
SO-388923,12,P020,13,1150,18,14950,2691.0,17641.0
SO-354080,1,P002,18,720,18,12960,2332.8,15292.8
SO-354080,2,P014,3,83500,28,250500,70140.0,320640.0
SO-354080,3,P028,14,2250,18,31500,5670.0,37170.0
SO-354080,4,P005,2,8450,28,16900,4732.0,21632.0
SO-354080,5,P029,14,3950,18,55300,9954.0,65254.0
SO-354080,6,P004,2,39800,28,79600,22288.000000000004,101888.0
SO-354080,7,P011,19,27600,28,524400,146832.0,671232.0
SO-354080,8,P016,8,10200,18,81600,14688.0,96288.0
SO-354080,9,P006,18,11200,28,201600,56448.00000000001,258048.0
SO-354080,10,P007,20,1450,18,29000,5220.0,34220.0
SO-354080,11,P022,2,16900,28,33800,9464.0,43264.0
SO-932489,1,P030,20,21900,28,438000,122640.0,560640.0
SO-932489,2,P019,12,39800,28,477600,133728.0,611328.0
SO-932489,3,P018,5,11300,28,56500,15820.000000000002,72320.0
SO-826878,1,P019,19,39800,28,756200,211736.00000000003,967936.0
SO-826878,2,P009,2,14900,28,29800,8344.0,38144.0
SO-826878,3,P022,11,16900,28,185900,52052.00000000001,237952.0
SO-826878,4,P010,10,34900,28,349000,97720.0,446720.0
SO-826878,5,P028,12,2250,18,27000,4860.0,31860.0
SO-826878,6,P011,19,27600,28,524400,146832.0,671232.0
SO-826878,7,P002,7,720,18,5040,907.2,5947.2
SO-826878,8,P020,13,1150,18,14950,2691.0,17641.0
SO-826878,9,P027,17,480,18,8160,1468.8,9628.8
SO-599074,1,P001,15,24500,28,367500,102900.0,470400.0
SO-599074,2,P009,3,14900,28,44700,12516.000000000002,57216.0
SO-599074,3,P014,9,83500,28,751500,210420.00000000003,961920.0
SO-599074,4,P003,14,1250,18,17500,3150.0,20650.0
SO-599074,5,P024,1,10300,28,10300,2884.0000000000005,13184.0
SO-599074,6,P019,6,39800,28,238800,66864.0,305664.0
SO-599074,7,P013,6,1450,18,8700,1566.0,10266.0
SO-599074,8,P016,19,10200,18,193800,34884.0,228684.0
SO-599074,9,P020,9,1150,18,10350,1863.0,12213.0
SO-599074,10,P020,20,1150,18,23000,4140.0,27140.0
SO-890601,1,P016,18,10200,18,183600,33048.0,216648.0
SO-890601,2,P005,12,8450,28,101400,28392.000000000004,129792.0
SO-890601,3,P017,14,520,18,7280,1310.4,8590.4
SO-890601,4,P029,5,3950,18,19750,3555.0,23305.0
SO-890601,5,P012,14,2450,28,34300,9604.000000000002,43904.0
SO-890601,6,P030,7,21900,28,153300,42924.00000000001,196224.0
SO-413914,1,P021,10,46200,28,462000,129360.0,591360.0
SO-413914,2,P017,5,520,18,2600,468.0,3068.0
SO-413914,3,P015,11,119000,28,1309000,366520.00000000006,1675520.0
SO-413914,4,P007,4,1450,18,5800,1044.0,6844.0
SO-593211,1,P014,7,83500,28,584500,163660.00000000003,748160.0
SO-593211,2,P005,6,8450,28,50700,14196.000000000002,64896.0
SO-593211,3,P008,7,580,18,4060,730.8,4790.8
SO-593211,4,P003,14,1250,18,17500,3150.0,20650.0
SO-991527,1,P004,5,39800,28,199000,55720.00000000001,254720.0
SO-991527,2,P011,11,27600,28,303600,85008.00000000001,388608.0
SO-991527,3,P025,14,7850,18,109900,19782.0,129682.0
SO-991527,4,P009,17,14900,28,253300,70924.0,324224.0
SO-991527,5,P013,17,1450,18,24650,4437.0,29087.0
SO-991527,6,P028,18,2250,18,40500,7290.0,47790.0
SO-991527,7,P024,6,10300,28,61800,17304.0,79104.0
SO-991527,8,P026,10,310,18,3100,558.0,3658.0
SO-991527,9,P017,20,520,18,10400,1872.0,12272.0
SO-991527,10,P014,7,83500,28,584500,163660.00000000003,748160.0
SO-301893,1,P013,6,1450,18,8700,1566.0,10266.0
SO-301893,2,P002,8,720,18,5760,1036.8,6796.8
SO-301893,3,P003,12,1250,18,15000,2700.0,17700.0
SO-301893,4,P029,11,3950,18,43450,7821.0,51271.0
SO-883432,1,P009,19,14900,28,283100,79268.00000000001,362368.0
SO-883432,2,P030,4,21900,28,87600,24528.000000000004,112128.0
SO-883432,3,P014,10,83500,28,835000,233800.00000000003,1068800.0
SO-883432,4,P025,20,7850,18,157000,28260.0,185260.0
SO-883432,5,P026,8,310,18,2480,446.4,2926.4
SO-883432,6,P019,6,39800,28,238800,66864.0,305664.0
SO-883432,7,P012,16,2450,28,39200,10976.000000000002,50176.0
SO-883432,8,P018,8,11300,28,90400,25312.000000000004,115712.0
SO-883432,9,P026,3,310,18,930,167.4,1097.4
SO-883432,10,P015,17,119000,28,2023000,566440.0,2589440.0
SO-282095,1,P020,3,1150,18,3450,621.0,4071.0
SO-282095,2,P016,18,10200,18,183600,33048.0,216648.0
SO-282095,3,P016,5,10200,18,51000,9180.0,60180.0
SO-282095,4,P009,15,14900,28,223500,62580.00000000001,286080.0
SO-597054,1,P009,2,14900,28,29800,8344.0,38144.0
SO-341588,1,P013,19,1450,18,27550,4959.0,32509.0
SO-341588,2,P006,18,11200,28,201600,56448.00000000001,258048.0
SO-341588,3,P013,8,1450,18,11600,2088.0,13688.0
SO-341588,4,P026,1,310,18,310,55.8,365.8
SO-341588,5,P019,10,39800,28,398000,111440.0,509440.0
SO-341588,6,P014,17,83500,28,1419500,397460.00000000006,1816960.0
SO-341588,7,P005,10,8450,28,84500,23660.000000000004,108160.0
SO-341588,8,P005,14,8450,28,118300,33124.0,151424.0
SO-341588,9,P011,13,27600,28,358800,100464.0,459264.0
SO-874829,1,P023,15,12950,28,194250,54390.00000000001,248640.0
SO-874829,2,P030,10,21900,28,219000,61320.00000000001,280320.0
SO-874829,3,P021,1,46200,28,46200,12936.000000000002,59136.0
SO-874829,4,P023,13,12950,28,168350,47138.00000000001,215488.0
SO-874829,5,P028,7,2250,18,15750,2835.0,18585.0
SO-874829,6,P014,11,83500,28,918500,257180.00000000003,1175680.0
SO-874829,7,P015,3,119000,28,357000,99960.0,456960.0
SO-874829,8,P003,18,1250,18,22500,4050.0,26550.0
SO-874829,9,P011,3,27600,28,82800,23184.000000000004,105984.0
SO-874829,10,P002,9,720,18,6480,1166.4,7646.4
SO-874829,11,P022,6,16900,28,101400,28392.000000000004,129792.0
SO-158058,1,P003,13,1250,18,16250,2925.0,19175.0
SO-158058,2,P003,6,1250,18,7500,1350.0,8850.0
SO-158058,3,P024,19,10300,28,195700,54796.00000000001,250496.0
SO-158058,4,P009,5,14900,28,74500,20860.000000000004,95360.0
SO-570289,1,P005,3,8450,28,25350,7098.000000000001,32448.0
SO-570289,2,P023,15,12950,28,194250,54390.00000000001,248640.0
SO-570289,3,P015,15,119000,28,1785000,499800.00000000006,2284800.0
SO-570289,4,P019,19,39800,28,756200,211736.00000000003,967936.0
SO-570289,5,P025,1,7850,18,7850,1413.0,9263.0
SO-570289,6,P017,17,520,18,8840,1591.2,10431.2
SO-570289,7,P013,10,1450,18,14500,2610.0,17110.0
SO-570289,8,P017,16,520,18,8320,1497.6,9817.6
SO-570289,9,P013,19,1450,18,27550,4959.0,32509.0
SO-570289,10,P008,11,580,18,6380,1148.4,7528.4
SO-234082,1,P021,15,46200,28,693000,194040.00000000003,887040.0
SO-234082,2,P011,7,27600,28,193200,54096.00000000001,247296.0
SO-234082,3,P010,1,34900,28,34900,9772.000000000002,44672.0
SO-234082,4,P017,1,520,18,520,93.6,613.6
SO-234082,5,P009,17,14900,28,253300,70924.0,324224.0
SO-234082,6,P001,15,24500,28,367500,102900.0,470400.0
SO-234082,7,P008,17,580,18,9860,1774.8,11634.8
SO-234082,8,P018,11,11300,28,124300,34804.0,159104.0
SO-234082,9,P027,19,480,18,9120,1641.6,10761.6
SO-234082,10,P005,2,8450,28,16900,4732.0,21632.0
SO-234082,11,P004,11,39800,28,437800,122584.0,560384.0
SO-851010,1,P027,18,480,18,8640,1555.2,10195.2
