movement_id,product_id,branch_id,movement_type,movement_date,quantity,reference_type,reference_id,running_balance
MOV-OUT-190847,P001,AHM001,OUT,2019-03-23,2,SO,SO-222111,3408
MOV-OUT-190853,P001,AHM001,OUT,2019-03-23,7,SO,SO-222111,3401
MOV-IN-97924,P001,AHM001,IN,2019-03-24,244,PO,PO-751323,3645
MOV-IN-97930,P001,AHM001,IN,2019-03-24,132,PO,PO-751323,3777
MOV-IN-10518,P001,AHM001,IN,2019-03-25,214,PO,PO-557051,3991
MOV-OUT-128828,P001,AHM001,OUT,2019-03-26,6,SO,SO-533108,3985
MOV-IN-67999,P001,AHM001,IN,2019-03-28,71,PO,PO-734211,4056
MOV-IN-146504,P001,AHM001,IN,2019-03-29,100,PO,PO-670362,4156
MOV-OUT-172940,P001,AHM001,OUT,2019-04-01,19,SO,SO-875050,4137
MOV-OUT-172943,P001,AHM001,OUT,2019-04-01,18,SO,SO-875050,4119
MOV-OUT-257966,P001,AHM001,OUT,2019-04-01,11,SO,SO-151854,4108
MOV-OUT-152451,P001,AHM001,OUT,2019-04-05,20,SO,SO-871792,4088
MOV-OUT-152453,P001,AHM001,OUT,2019-04-05,1,SO,SO-871792,4087
MOV-OUT-207759,P001,AHM001,OUT,2019-04-05,6,SO,SO-392151,4081
MOV-IN-131822,P001,AHM001,IN,2019-04-06,169,PO,PO-766612,4250
MOV-OUT-146379,P001,AHM001,OUT,2019-04-08,5,SO,SO-795414,4245
MOV-ADJ-1519,P001,AHM001,ADJUSTMENT,2019-04-14,38,ADJ,ADJ-1519,4207
MOV-IN-58234,P001,AHM001,IN,2019-04-16,242,PO,PO-200154,4449
MOV-IN-36311,P001,AHM001,IN,2019-04-20,283,PO,PO-674247,4732
MOV-OUT-212867,P001,AHM001,OUT,2019-04-21,16,SO,SO-481910,4716
MOV-IN-129115,P001,AHM001,IN,2019-04-22,187,PO,PO-548935,4903
MOV-IN-6312,P001,AHM001,IN,2019-04-23,168,PO,PO-732770,5071
MOV-IN-62708,P001,AHM001,IN,2019-04-25,171,PO,PO-211977,5242
MOV-OUT-164479,P001,AHM001,OUT,2019-04-25,11,SO,SO-759672,5231
MOV-OUT-244959,P001,AHM001,OUT,2019-04-29,19,SO,SO-245752,5212
MOV-OUT-235691,P001,AHM001,OUT,2019-04-29,15,SO,SO-243312,5197
MOV-IN-26474,P001,AHM001,IN,2019-04-29,88,PO,PO-387579,5285
MOV-IN-131850,P001,AHM001,IN,2019-04-30,181,PO,PO-758734,5466
MOV-IN-23669,P001,AHM001,IN,2019-05-02,291,PO,PO-646501,5757
MOV-IN-126339,P001,AHM001,IN,2019-05-02,39,PO,PO-298934,5796
MOV-OUT-158303,P001,AHM001,OUT,2019-05-07,3,SO,SO-732319,5793
MOV-OUT-158307,P001,AHM001,OUT,2019-05-07,8,SO,SO-732319,5785
MOV-IN-83254,P001,AHM001,IN,2019-05-08,126,PO,PO-150636,5911
MOV-IN-60510,P001,AHM001,IN,2019-05-10,152,PO,PO-127110,6063
MOV-OUT-218538,P001,AHM001,OUT,2019-05-10,6,SO,SO-275549,6057
MOV-OUT-132597,P001,AHM001,OUT,2019-05-11,8,SO,SO-511179,6049
MOV-OUT-183177,P001,AHM001,OUT,2019-05-14,8,SO,SO-340910,6041
MOV-IN-79234,P001,AHM001,IN,2019-05-15,128,PO,PO-687552,6169
MOV-IN-79235,P001,AHM001,IN,2019-05-15,260,PO,PO-687552,6429
MOV-IN-79236,P001,AHM001,IN,2019-05-15,147,PO,PO-687552,6576
MOV-OUT-181943,P001,AHM001,OUT,2019-05-20,20,SO,SO-424203,6556
MOV-IN-78791,P001,AHM001,IN,2019-05-25,251,PO,PO-474331,6807
MOV-OUT-216846,P001,AHM001,OUT,2019-05-27,3,SO,SO-206101,6804
MOV-OUT-247235,P001,AHM001,OUT,2019-05-27,4,SO,SO-146343,6800
MOV-IN-82809,P001,AHM001,IN,2019-06-01,179,PO,PO-350607,6979
MOV-OUT-218193,P001,AHM001,OUT,2019-06-05,8,SO,SO-301986,6971
MOV-OUT-187791,P001,AHM001,OUT,2019-06-05,6,SO,SO-649042,6965
MOV-IN-155046,P001,AHM001,IN,2019-06-08,208,PO,PO-924756,7173
MOV-IN-155050,P001,AHM001,IN,2019-06-08,237,PO,PO-924756,7410
MOV-OUT-129798,P001,AHM001,OUT,2019-06-11,9,SO,SO-280317,7401
MOV-OUT-129802,P001,AHM001,OUT,2019-06-11,5,SO,SO-280317,7396
MOV-OUT-170581,P001,AHM001,OUT,2019-06-13,11,SO,SO-943181,7385
MOV-OUT-240309,P001,AHM001,OUT,2019-06-20,8,SO,SO-358691,7377
MOV-OUT-156104,P001,AHM001,OUT,2019-06-23,8,SO,SO-397087,7369
MOV-OUT-256471,P001,AHM001,OUT,2019-06-24,19,SO,SO-520872,7350
MOV-IN-80670,P001,AHM001,IN,2019-06-24,78,PO,PO-251226,7428
MOV-IN-132628,P001,AHM001,IN,2019-06-25,216,PO,PO-861940,7644
MOV-OUT-170393,P001,AHM001,OUT,2019-06-30,10,SO,SO-243516,7634
MOV-OUT-170394,P001,AHM001,OUT,2019-06-30,19,SO,SO-243516,7615
MOV-IN-37856,P001,AHM001,IN,2019-07-01,235,PO,PO-149676,7850
MOV-IN-81305,P001,AHM001,IN,2019-07-03,267,PO,PO-602472,8117
MOV-IN-81309,P001,AHM001,IN,2019-07-03,270,PO,PO-602472,8387
MOV-OUT-201924,P001,AHM001,OUT,2019-07-03,4,SO,SO-436172,8383
MOV-OUT-140217,P001,AHM001,OUT,2019-07-04,7,SO,SO-220995,8376
MOV-OUT-140219,P001,AHM001,OUT,2019-07-04,17,SO,SO-220995,8359
MOV-IN-115953,P001,AHM001,IN,2019-07-06,73,PO,PO-427149,8432
MOV-OUT-170196,P001,AHM001,OUT,2019-07-08,12,SO,SO-197858,8420
MOV-OUT-243517,P001,AHM001,OUT,2019-07-09,15,SO,SO-429564,8405
MOV-OUT-129673,P001,AHM001,OUT,2019-07-14,15,SO,SO-154761,8390
MOV-OUT-186264,P001,AHM001,OUT,2019-07-15,5,SO,SO-977352,8385
MOV-OUT-228315,P001,AHM001,OUT,2019-07-18,16,SO,SO-195031,8369
MOV-IN-52333,P001,AHM001,IN,2019-07-20,238,PO,PO-680372,8607
MOV-IN-52338,P001,AHM001,IN,2019-07-20,212,PO,PO-680372,8819
MOV-IN-90735,P001,AHM001,IN,2019-07-22,158,PO,PO-591756,8977
MOV-IN-134479,P001,AHM001,IN,2019-07-22,177,PO,PO-533681,9154
MOV-OUT-167157,P001,AHM001,OUT,2019-07-23,5,SO,SO-123209,9149
MOV-IN-42391,P001,AHM001,IN,2019-07-25,246,PO,PO-957125,9395
MOV-IN-37176,P001,AHM001,IN,2019-07-27,153,PO,PO-304721,9548
MOV-IN-139039,P001,AHM001,IN,2019-07-27,178,PO,PO-817561,9726
MOV-OUT-194834,P001,AHM001,OUT,2019-07-29,3,SO,SO-754470,9723
MOV-IN-60695,P001,AHM001,IN,2019-08-01,193,PO,PO-245772,9916
MOV-OUT-162034,P001,AHM001,OUT,2019-08-02,6,SO,SO-662396,9910
MOV-OUT-206855,P001,AHM001,OUT,2019-08-02,19,SO,SO-299193,9891
MOV-OUT-255052,P001,AHM001,OUT,2019-08-05,15,SO,SO-287854,9876
MOV-IN-102849,P001,AHM001,IN,2019-08-11,285,PO,PO-135132,10161
MOV-OUT-162371,P001,AHM001,OUT,2019-08-13,20,SO,SO-808927,10141
MOV-OUT-162368,P001,AHM001,OUT,2019-08-13,18,SO,SO-808927,10123
MOV-OUT-162369,P001,AHM001,OUT,2019-08-13,18,SO,SO-808927,10105
MOV-IN-25944,P001,AHM001,IN,2019-08-15,211,PO,PO-271503,10316
MOV-OUT-157228,P001,AHM001,OUT,2019-08-15,12,SO,SO-777002,10304
MOV-OUT-217105,P001,AHM001,OUT,2019-08-16,17,SO,SO-510201,10287
MOV-OUT-231613,P001,AHM001,OUT,2019-08-16,3,SO,SO-121765,10284
MOV-IN-10,P001,AHM001,IN,2019-08-17,173,PO,PO-700652,10457
MOV-IN-9502,P001,AHM001,IN,2019-08-19,99,PO,PO-958371,10556
MOV-IN-108588,P001,AHM001,IN,2019-08-19,265,PO,PO-601387,10821
MOV-OUT-218152,P001,AHM001,OUT,2019-08-20,10,SO,SO-367730,10811
MOV-OUT-150324,P001,AHM001,OUT,2019-08-23,20,SO,SO-301598,10791
MOV-IN-114503,P001,AHM001,IN,2019-08-28,200,PO,PO-229982,10991
MOV-IN-8403,P001,AHM001,IN,2019-08-29,37,PO,PO-522056,11028
MOV-ADJ-1097,P001,AHM001,ADJUSTMENT,2019-08-29,38,ADJ,ADJ-1097,10990
MOV-IN-132040,P001,AHM001,IN,2019-09-03,219,PO,PO-910101,11209
MOV-IN-54100,P001,AHM001,IN,2019-09-04,187,PO,PO-757008,11396
MOV-IN-51295,P001,AHM001,IN,2019-09-07,97,PO,PO-673634,11493
MOV-IN-130470,P001,AHM001,IN,2019-09-07,160,PO,PO-349579,11653
MOV-IN-41068,P001,AHM001,IN,2019-09-12,79,PO,PO-642985,11732
MOV-IN-124528,P001,AHM001,IN,2019-09-14,120,PO,PO-887506,11852
MOV-IN-143297,P001,AHM001,IN,2019-09-14,162,PO,PO-419708,12014
MOV-OUT-139468,P001,AHM001,OUT,2019-09-14,5,SO,SO-745511,12009
MOV-OUT-148289,P001,AHM001,OUT,2019-09-14,11,SO,SO-540339,11998
MOV-OUT-155970,P001,AHM001,OUT,2019-09-17,3,SO,SO-959949,11995
MOV-OUT-227784,P001,AHM001,OUT,2019-09-17,8,SO,SO-271844,11987
MOV-OUT-227790,P001,AHM001,OUT,2019-09-17,15,SO,SO-271844,11972
MOV-IN-62491,P001,AHM001,IN,2019-09-19,59,PO,PO-712132,12031
MOV-IN-62494,P001,AHM001,IN,2019-09-19,287,PO,PO-712132,12318
MOV-OUT-235384,P001,AHM001,OUT,2019-09-19,6,SO,SO-794078,12312
MOV-IN-76836,P001,AHM001,IN,2019-09-22,244,PO,PO-557503,12556
MOV-IN-76837,P001,AHM001,IN,2019-09-22,262,PO,PO-557503,12818
MOV-IN-116710,P001,AHM001,IN,2019-09-30,208,PO,PO-697494,13026
MOV-IN-116712,P001,AHM001,IN,2019-09-30,59,PO,PO-697494,13085
MOV-OUT-145499,P001,AHM001,OUT,2019-10-05,19,SO,SO-863185,13066
MOV-OUT-257056,P001,AHM001,OUT,2019-10-07,9,SO,SO-437185,13057
MOV-OUT-190613,P001,AHM001,OUT,2019-10-12,19,SO,SO-674742,13038
MOV-IN-42973,P001,AHM001,IN,2019-10-15,52,PO,PO-569945,13090
MOV-OUT-146411,P001,AHM001,OUT,2019-10-15,12,SO,SO-563147,13078
MOV-IN-15814,P001,AHM001,IN,2019-10-15,212,PO,PO-725824,13290
MOV-OUT-232188,P001,AHM001,OUT,2019-10-16,17,SO,SO-369589,13273
MOV-OUT-232186,P001,AHM001,OUT,2019-10-16,5,SO,SO-369589,13268
MOV-OUT-149604,P001,AHM001,OUT,2019-10-16,15,SO,SO-472696,13253
MOV-IN-151389,P001,AHM001,IN,2019-10-16,81,PO,PO-402942,13334
MOV-OUT-127658,P001,AHM001,OUT,2019-10-18,20,SO,SO-508292,13314
MOV-OUT-167073,P001,AHM001,OUT,2019-10-19,13,SO,SO-829105,13301
MOV-IN-83411,P001,AHM001,IN,2019-10-22,58,PO,PO-713934,13359
MOV-OUT-222037,P001,AHM001,OUT,2019-10-22,1,SO,SO-928410,13358
MOV-OUT-199015,P001,AHM001,OUT,2019-10-23,9,SO,SO-676353,13349
MOV-IN-39246,P001,AHM001,IN,2019-10-26,77,PO,PO-975414,13426
MOV-IN-92366,P001,AHM001,IN,2019-10-26,109,PO,PO-858211,13535
MOV-IN-129803,P001,AHM001,IN,2019-10-28,276,PO,PO-515627,13811
MOV-IN-128640,P001,AHM001,IN,2019-10-28,51,PO,PO-920973,13862
MOV-IN-153337,P001,AHM001,IN,2019-10-29,84,PO,PO-971315,13946
MOV-ADJ-524,P001,AHM001,ADJUSTMENT,2019-11-01,33,ADJ,ADJ-524,13979
MOV-IN-39976,P001,AHM001,IN,2019-11-02,57,PO,PO-452110,14036
MOV-OUT-142663,P001,AHM001,OUT,2019-11-02,8,SO,SO-408730,14028
MOV-IN-30667,P001,AHM001,IN,2019-11-03,299,PO,PO-283341,14327
MOV-IN-30668,P001,AHM001,IN,2019-11-03,260,PO,PO-283341,14587
MOV-IN-92337,P001,AHM001,IN,2019-11-03,34,PO,PO-112488,14621
MOV-IN-92343,P001,AHM001,IN,2019-11-03,206,PO,PO-112488,14827
MOV-OUT-131929,P001,AHM001,OUT,2019-11-04,16,SO,SO-742015,14811
MOV-IN-89709,P001,AHM001,IN,2019-11-04,95,PO,PO-202743,14906
MOV-IN-106177,P001,AHM001,IN,2019-11-05,298,PO,PO-690676,15204
MOV-OUT-149274,P001,AHM001,OUT,2019-11-05,5,SO,SO-479128,15199
MOV-IN-116886,P001,AHM001,IN,2019-11-15,189,PO,PO-157549,15388
MOV-IN-131297,P001,AHM001,IN,2019-11-18,133,PO,PO-823964,15521
MOV-IN-80537,P001,AHM001,IN,2019-11-19,67,PO,PO-105443,15588
MOV-IN-132649,P001,AHM001,IN,2019-11-20,157,PO,PO-589556,15745
MOV-OUT-203994,P001,AHM001,OUT,2019-11-20,9,SO,SO-950424,15736
MOV-OUT-149044,P001,AHM001,OUT,2019-11-21,20,SO,SO-684844,15716
MOV-OUT-168021,P001,AHM001,OUT,2019-11-23,6,SO,SO-788840,15710
MOV-IN-1311,P001,AHM001,IN,2019-11-27,198,PO,PO-220759,15908
MOV-IN-79928,P001,AHM001,IN,2019-11-29,143,PO,PO-589637,16051
MOV-OUT-253165,P001,AHM001,OUT,2019-11-29,11,SO,SO-548623,16040
MOV-OUT-183973,P001,AHM001,OUT,2019-12-02,8,SO,SO-944409,16032
MOV-OUT-138277,P001,AHM001,OUT,2019-12-06,18,SO,SO-578981,16014
MOV-IN-113908,P001,AHM001,IN,2019-12-07,27,PO,PO-276490,16041
MOV-IN-146255,P001,AHM001,IN,2019-12-08,299,PO,PO-453933,16340
MOV-IN-146256,P001,AHM001,IN,2019-12-08,287,PO,PO-453933,16627
MOV-IN-146257,P001,AHM001,IN,2019-12-08,34,PO,PO-453933,16661
MOV-OUT-183063,P001,AHM001,OUT,2019-12-11,8,SO,SO-618984,16653
MOV-OUT-183059,P001,AHM001,OUT,2019-12-11,18,SO,SO-618984,16635
MOV-OUT-193469,P001,AHM001,OUT,2019-12-13,6,SO,SO-444091,16629
MOV-IN-123465,P001,AHM001,IN,2019-12-16,159,PO,PO-404905,16788
MOV-IN-143229,P001,AHM001,IN,2019-12-19,298,PO,PO-512238,17086
MOV-OUT-182241,P001,AHM001,OUT,2019-12-19,16,SO,SO-854404,17070
MOV-IN-42493,P001,AHM001,IN,2019-12-20,96,PO,PO-332197,17166
MOV-OUT-257569,P001,AHM001,OUT,2019-12-21,16,SO,SO-585637,17150
MOV-IN-45168,P001,AHM001,IN,2019-12-25,121,PO,PO-815046,17271
MOV-IN-120194,P001,AHM001,IN,2019-12-28,55,PO,PO-284227,17326
MOV-IN-120191,P001,AHM001,IN,2019-12-28,216,PO,PO-284227,17542
MOV-IN-101210,P001,AHM001,IN,2019-12-29,234,PO,PO-313542,17776
MOV-IN-49619,P001,AHM001,IN,2019-12-30,177,PO,PO-650444,17953
MOV-IN-119891,P001,AHM001,IN,2019-12-30,243,PO,PO-269370,18196
MOV-OUT-169812,P001,AHM001,OUT,2019-12-31,17,SO,SO-382805,18179
MOV-OUT-174724,P001,AHM001,OUT,2019-12-31,3,SO,SO-994940,18176
MOV-OUT-192762,P001,AHM001,OUT,2019-12-31,7,SO,SO-305874,18169
MOV-IN-52262,P001,AHM001,IN,2020-01-06,155,PO,PO-709247,18324
MOV-OUT-148937,P001,AHM001,OUT,2020-01-12,11,SO,SO-626720,18313
MOV-IN-144030,P001,AHM001,IN,2020-01-12,222,PO,PO-501097,18535
MOV-OUT-196275,P001,AHM001,OUT,2020-01-14,2,SO,SO-543625,18533
MOV-IN-120765,P001,AHM001,IN,2020-01-18,185,PO,PO-225621,18718
MOV-IN-46812,P001,AHM001,IN,2020-01-20,142,PO,PO-823822,18860
MOV-OUT-256019,P001,AHM001,OUT,2020-01-20,3,SO,SO-274725,18857
MOV-IN-151996,P001,AHM001,IN,2020-01-22,146,PO,PO-552123,19003
MOV-OUT-210177,P001,AHM001,OUT,2020-01-25,11,SO,SO-539410,18992
MOV-OUT-245103,P001,AHM001,OUT,2020-01-25,15,SO,SO-520978,18977
MOV-OUT-256749,P001,AHM001,OUT,2020-01-25,8,SO,SO-421401,18969
MOV-OUT-209268,P001,AHM001,OUT,2020-01-28,16,SO,SO-759158,18953
MOV-OUT-149476,P001,AHM001,OUT,2020-01-30,17,SO,SO-310085,18936
MOV-OUT-256209,P001,AHM001,OUT,2020-01-31,11,SO,SO-630947,18925
MOV-OUT-246659,P001,AHM001,OUT,2020-02-02,15,SO,SO-704311,18910
MOV-IN-100527,P001,AHM001,IN,2020-02-04,168,PO,PO-103235,19078
MOV-IN-110972,P001,AHM001,IN,2020-02-04,39,PO,PO-803077,19117
MOV-IN-125976,P001,AHM001,IN,2020-02-04,282,PO,PO-615450,19399
MOV-IN-120257,P001,AHM001,IN,2020-02-14,180,PO,PO-267561,19579
MOV-IN-120259,P001,AHM001,IN,2020-02-14,213,PO,PO-267561,19792
MOV-IN-154575,P001,AHM001,IN,2020-02-14,234,PO,PO-905145,20026
MOV-OUT-190998,P001,AHM001,OUT,2020-02-15,2,SO,SO-367133,20024
MOV-IN-71262,P001,AHM001,IN,2020-02-16,265,PO,PO-997621,20289
MOV-IN-33652,P001,AHM001,IN,2020-02-20,243,PO,PO-783829,20532
MOV-IN-72000,P001,AHM001,IN,2020-02-21,287,PO,PO-261529,20819
MOV-IN-54233,P001,AHM001,IN,2020-02-21,68,PO,PO-644200,20887
MOV-OUT-161751,P001,AHM001,OUT,2020-02-24,7,SO,SO-518587,20880
MOV-OUT-192828,P001,AHM001,OUT,2020-02-25,11,SO,SO-348000,20869
MOV-OUT-255010,P001,AHM001,OUT,2020-02-29,3,SO,SO-297828,20866
MOV-IN-39417,P001,AHM001,IN,2020-03-05,286,PO,PO-312913,21152
MOV-IN-123710,P001,AHM001,IN,2020-03-05,84,PO,PO-904741,21236
MOV-OUT-238832,P001,AHM001,OUT,2020-03-06,12,SO,SO-112341,21224
MOV-OUT-238835,P001,AHM001,OUT,2020-03-06,6,SO,SO-112341,21218
MOV-IN-58146,P001,AHM001,IN,2020-03-06,195,PO,PO-339453,21413
MOV-IN-136375,P001,AHM001,IN,2020-03-06,263,PO,PO-646654,21676
MOV-IN-29629,P001,AHM001,IN,2020-03-09,270,PO,PO-665827,21946
MOV-IN-75926,P001,AHM001,IN,2020-03-09,258,PO,PO-372350,22204
MOV-IN-61664,P001,AHM001,IN,2020-03-11,226,PO,PO-202164,22430
MOV-IN-1646,P001,AHM001,IN,2020-03-16,279,PO,PO-571675,22709
MOV-OUT-137358,P001,AHM001,OUT,2020-03-16,1,SO,SO-901825,22708
MOV-OUT-212611,P001,AHM001,OUT,2020-03-17,13,SO,SO-654962,22695
MOV-OUT-212612,P001,AHM001,OUT,2020-03-17,16,SO,SO-654962,22679
MOV-IN-117764,P001,AHM001,IN,2020-03-20,283,PO,PO-578631,22962
MOV-IN-113211,P001,AHM001,IN,2020-03-23,189,PO,PO-439118,23151
MOV-OUT-202931,P001,AHM001,OUT,2020-03-25,13,SO,SO-200914,23138
MOV-IN-98281,P001,AHM001,IN,2020-03-26,58,PO,PO-338343,23196
MOV-OUT-191370,P001,AHM001,OUT,2020-03-26,16,SO,SO-631570,23180
MOV-IN-78329,P001,AHM001,IN,2020-03-27,233,PO,PO-834505,23413
MOV-OUT-131589,P001,AHM001,OUT,2020-03-31,17,SO,SO-325407,23396
MOV-OUT-165027,P001,AHM001,OUT,2020-03-31,18,SO,SO-835922,23378
MOV-IN-28148,P001,AHM001,IN,2020-04-02,230,PO,PO-802461,23608
MOV-IN-28149,P001,AHM001,IN,2020-04-02,81,PO,PO-802461,23689
MOV-IN-98012,P001,AHM001,IN,2020-04-03,81,PO,PO-407978,23770
MOV-OUT-255016,P001,AHM001,OUT,2020-04-04,2,SO,SO-149924,23768
MOV-OUT-254267,P001,AHM001,OUT,2020-04-07,6,SO,SO-605462,23762
MOV-IN-62804,P001,AHM001,IN,2020-04-07,93,PO,PO-971282,23855
MOV-OUT-230872,P001,AHM001,OUT,2020-04-12,12,SO,SO-981782,23843
MOV-OUT-153704,P001,AHM001,OUT,2020-04-18,11,SO,SO-436901,23832
MOV-IN-137783,P001,AHM001,IN,2020-04-19,173,PO,PO-767151,24005
MOV-IN-137785,P001,AHM001,IN,2020-04-19,72,PO,PO-767151,24077
MOV-OUT-193243,P001,AHM001,OUT,2020-04-19,13,SO,SO-215919,24064
MOV-OUT-170825,P001,AHM001,OUT,2020-04-20,11,SO,SO-927358,24053
MOV-OUT-151240,P001,AHM001,OUT,2020-04-22,20,SO,SO-197913,24033
MOV-OUT-152387,P001,AHM001,OUT,2020-04-24,4,SO,SO-292099,24029
MOV-IN-36950,P001,AHM001,IN,2020-04-26,33,PO,PO-402029,24062
MOV-OUT-173311,P001,AHM001,OUT,2020-04-29,12,SO,SO-202713,24050
MOV-OUT-251719,P001,AHM001,OUT,2020-04-29,9,SO,SO-421199,24041
MOV-OUT-174395,P001,AHM001,OUT,2020-04-30,1,SO,SO-334170,24040
MOV-OUT-150582,P001,AHM001,OUT,2020-05-03,10,SO,SO-754639,24030
MOV-OUT-143474,P001,AHM001,OUT,2020-05-04,13,SO,SO-113805,24017
MOV-OUT-205194,P001,AHM001,OUT,2020-05-04,14,SO,SO-213311,24003
MOV-IN-129608,P001,AHM001,IN,2020-05-09,163,PO,PO-282681,24166
MOV-OUT-129709,P001,AHM001,OUT,2020-05-12,9,SO,SO-442532,24157
MOV-OUT-129714,P001,AHM001,OUT,2020-05-12,8,SO,SO-442532,24149
MOV-IN-68298,P001,AHM001,IN,2020-05-13,240,PO,PO-313223,24389
MOV-IN-150711,P001,AHM001,IN,2020-05-14,203,PO,PO-465548,24592
MOV-OUT-236995,P001,AHM001,OUT,2020-05-14,7,SO,SO-447554,24585
MOV-IN-128995,P001,AHM001,IN,2020-05-15,71,PO,PO-203288,24656
MOV-IN-99476,P001,AHM001,IN,2020-05-16,261,PO,PO-847019,24917
MOV-IN-87204,P001,AHM001,IN,2020-05-17,220,PO,PO-707639,25137
MOV-OUT-212414,P001,AHM001,OUT,2020-05-22,19,SO,SO-865479,25118
MOV-IN-116782,P001,AHM001,IN,2020-05-23,164,PO,PO-157372,25282
MOV-IN-24857,P001,AHM001,IN,2020-05-24,120,PO,PO-458754,25402
MOV-IN-16843,P001,AHM001,IN,2020-05-25,290,PO,PO-873321,25692
MOV-IN-16833,P001,AHM001,IN,2020-05-25,135,PO,PO-873321,25827
MOV-IN-33273,P001,AHM001,IN,2020-05-27,239,PO,PO-178190,26066
MOV-IN-3381,P001,AHM001,IN,2020-05-31,79,PO,PO-956546,26145
MOV-IN-96893,P001,AHM001,IN,2020-06-01,194,PO,PO-888023,26339
MOV-IN-89132,P001,AHM001,IN,2020-06-02,273,PO,PO-379301,26612
MOV-IN-60360,P001,AHM001,IN,2020-06-04,141,PO,PO-393491,26753
MOV-IN-33522,P001,AHM001,IN,2020-06-06,187,PO,PO-263809,26940
MOV-IN-33523,P001,AHM001,IN,2020-06-06,106,PO,PO-263809,27046
MOV-IN-47816,P001,AHM001,IN,2020-06-06,271,PO,PO-303777,27317
MOV-IN-154222,P001,AHM001,IN,2020-06-07,263,PO,PO-793423,27580
MOV-IN-154220,P001,AHM001,IN,2020-06-07,166,PO,PO-793423,27746
MOV-IN-88982,P001,AHM001,IN,2020-06-09,31,PO,PO-523436,27777
MOV-IN-88983,P001,AHM001,IN,2020-06-09,143,PO,PO-523436,27920
MOV-OUT-256302,P001,AHM001,OUT,2020-06-09,8,SO,SO-165358,27912
MOV-IN-61,P001,AHM001,IN,2020-06-10,295,PO,PO-502470,28207
MOV-OUT-152381,P001,AHM001,OUT,2020-06-10,12,SO,SO-530873,28195
MOV-IN-25534,P001,AHM001,IN,2020-06-12,161,PO,PO-483961,28356
MOV-OUT-209652,P001,AHM001,OUT,2020-06-13,18,SO,SO-389553,28338
MOV-IN-33191,P001,AHM001,IN,2020-06-20,216,PO,PO-337435,28554
MOV-IN-747,P001,AHM001,IN,2020-06-23,202,PO,PO-977769,28756
MOV-IN-37648,P001,AHM001,IN,2020-06-23,57,PO,PO-324877,28813
MOV-IN-55038,P001,AHM001,IN,2020-06-26,138,PO,PO-946172,28951
MOV-IN-34524,P001,AHM001,IN,2020-06-26,239,PO,PO-770308,29190
MOV-IN-150073,P001,AHM001,IN,2020-06-27,114,PO,PO-465446,29304
