invoice_uid,invoice_id,so_id,customer_id,branch_id,invoice_date,due_date,total_order_value,total_gst_amount,grand_total,payment_status,invoice_id_ambiguous
INVUID-000046,INV-854510,SO-413914,C0478,DEL001,2019-02-15,2019-03-17,1779400,497392.00000000006,2276792.0,Paid,False
INVUID-000047,INV-959225,SO-593211,C0136,AHM001,2019-07-09,2019-08-08,656760,181736.8,838496.8,Partially Paid,False
INVUID-000048,INV-562671,SO-991527,C0010,CHN001,2022-04-01,2022-05-01,1590750,426555.00000000006,2017305.0,Paid,False
INVUID-000049,INV-906320,SO-301893,C0456,DEL001,2022-12-06,2023-01-05,72910,13123.8,86033.8,Unpaid,False
INVUID-000050,INV-979945,SO-883432,C0258,CHN001,2024-09-06,2024-11-05,3757510,1036061.8,4793571.8,Paid,False
INVUID-000051,INV-183234,SO-282095,C0373,HYD001,2022-09-16,2022-10-01,461550,105429.0,566979.0,Paid,False
INVUID-000052,INV-696783,SO-597054,C0203,AHM001,2024-10-03,2024-11-02,29800,8344.0,38144.0,Paid,False
INVUID-000053,INV-774464,SO-874829,C0404,AHM001,2020-03-12,2020-04-11,2132230,592551.4000000001,2724781.4,Paid,False
INVUID-000054,INV-940141,SO-158058,C0087,HYD001,2019-08-06,2019-10-05,293950,79931.00000000001,373881.0,Paid,False
INVUID-000055,INV-906426,SO-570289,C0286,CHN001,2021-08-19,2021-09-18,2834240,786243.2000000001,3620483.2,Paid,False
INVUID-000056,INV-155585,SO-851010,C0222,DEL001,2022-05-02,2022-06-01,1921140,529380.2000000001,2450520.2,Paid,False
INVUID-000057,INV-436081,SO-737202,C0299,CHN001,2019-04-08,2019-05-08,517530,132665.4,650195.4,Paid,False
INVUID-000058,INV-886834,SO-968645,C0010,CHN001,2019-08-16,2019-09-15,320550,88254.00000000001,408804.0,Paid,False
INVUID-000059,INV-194338,SO-184791,C0197,AHM001,2021-10-29,2021-12-13,1648140,456745.20000000007,2104885.2,Partially Paid,False
INVUID-000060,INV-895736,SO-378647,C0397,AHM001,2023-07-10,2023-08-09,217420,60225.600000000006,277645.6,Paid,False
INVUID-000061,INV-932358,SO-150938,C0396,AHM001,2024-11-08,2024-12-23,132230,36621.40000000001,168851.4,Paid,False
INVUID-000062,INV-469444,SO-944599,C0341,DEL001,2024-03-06,2024-04-20,2197330,610849.4,2808179.4,Paid,False
INVUID-000063,INV-964240,SO-337483,C0417,KOL001,2022-10-29,2022-11-28,390450,99571.0,490021.0,Paid,False
INVUID-000064,INV-370392,SO-466114,C0353,DEL001,2019-07-23,2019-09-21,1316030,358135.4,1674165.4,Partially Paid,False
INVUID-000065,INV-177268,SO-182036,C0393,KOL001,2019-08-01,2019-08-16,1939000,540735.0000000001,2479735.0,Paid,False
INVUID-000066,INV-954567,SO-196893,C0455,PUN001,2022-09-05,2022-10-05,3539210,987197.8000000002,4526407.8,Partially Paid,False
INVUID-000067,INV-312855,SO-483043,C0105,DEL001,2023-09-17,2023-11-16,895730,239471.4,1135201.4,Paid,False
INVUID-000068,INV-949130,SO-718024,C0146,AHM001,2020-10-10,2020-12-09,3892900,1076682.0,4969582.0,Paid,False
INVUID-000069,INV-802577,SO-822214,C0049,KOL001,2022-01-23,2022-02-07,126750,35490.0,162240.0,Partially Paid,False
INVUID-000070,INV-975372,SO-888500,C0389,AHM001,2019-04-11,2019-05-11,1166230,318666.4,1484896.4,Partially Paid,False
INVUID-000071,INV-409185,SO-910776,C0446,HYD001,2022-12-05,2023-01-04,56350,10143.0,66493.0,Unpaid,False
INVUID-000072,INV-700800,SO-882277,C0026,HYD001,2020-05-25,2020-07-24,95600,26478.000000000004,122078.0,Partially Paid,False
INVUID-000073,INV-940006,SO-628561,C0239,CHN001,2020-10-21,2020-12-20,741590,205126.20000000004,946716.2,Paid,False
INVUID-000074,INV-295210,SO-968887,C0326,KOL001,2021-08-17,2021-09-16,726520,191883.60000000003,918403.6,Paid,False
INVUID-000075,INV-147057,SO-524580,C0152,CHN001,2021-12-05,2021-12-20,917650,255037.00000000003,1172687.0,Paid,False
INVUID-000076,INV-334538,SO-376514,C0153,PUN001,2023-07-09,2023-08-08,809490,199963.2,1009453.2,Partially Paid,False
INVUID-000077,INV-961603,SO-765039,C0430,KOL001,2022-08-06,2022-08-21,3116700,858546.0000000001,3975246.0,Paid,False
INVUID-000078,INV-253296,SO-251167,C0058,PUN001,2024-10-28,2024-11-12,491580,120134.4,611714.4,Paid,False
INVUID-000079,INV-585792,SO-633824,C0184,CHN001,2022-05-10,2022-05-25,523580,124714.4,648294.4,Paid,False
INVUID-000080,INV-688427,SO-894042,C0482,KOL001,2020-08-09,2020-10-08,2792220,781389.6000000001,3573609.6,Unpaid,False
INVUID-000081,INV-426299,SO-970632,C0168,PUN001,2022-08-29,2022-10-28,2549750,699195.0000000001,3248945.0,Paid,False
INVUID-000082,INV-693572,SO-708213,C0066,HYD001,2023-06-06,2023-08-05,4320,777.6,5097.6,Partially Paid,False
INVUID-000083,INV-914904,SO-723200,C0376,DEL001,2024-11-29,2024-12-29,553220,154089.60000000003,707309.6,Paid,False
INVUID-000084,INV-411347,SO-791354,C0427,HYD001,2019-06-25,2019-08-24,183140,50415.2,233555.2,Partially Paid,False
INVUID-000085,INV-698098,SO-604184,C0133,AHM001,2023-06-09,2023-06-24,2595610,723344.8,3318954.8,Paid,False
INVUID-000086,INV-734161,SO-297416,C0233,KOL001,2021-04-08,2021-05-23,2518040,690567.2000000001,3208607.2,Paid,False
INVUID-000087,INV-964300,SO-157081,C0304,DEL001,2021-03-11,2021-05-10,1999600,529358.0000000001,2528958.0,Paid,False
INVUID-000088,INV-102776,SO-222518,C0240,HYD001,2021-02-13,2021-03-15,2871950,801526.0000000001,3673476.0,Paid,False
INVUID-000089,INV-127918,SO-378574,C0494,CHN001,2020-07-01,2020-08-15,1596430,437592.4,2034022.4,Partially Paid,False
INVUID-000090,INV-577818,SO-121403,C0300,DEL001,2024-11-28,2024-12-13,84990,15298.2,100288.2,Paid,False
INVUID-000091,INV-184254,SO-789374,C0356,DEL001,2022-12-13,2023-01-27,146470,26364.6,172834.6,Partially Paid,False
INVUID-000092,INV-929162,SO-668225,C0029,KOL001,2024-01-10,2024-02-24,1551150,421157.00000000006,1972307.0,Unpaid,False
INVUID-000093,INV-586934,SO-756461,C0107,DEL001,2021-09-03,2021-10-03,1030700,280726.0,1311426.0,Paid,False
INVUID-000094,INV-616169,SO-407922,C0326,KOL001,2019-12-10,2020-01-09,163900,45892.00000000001,209792.0,Paid,False
INVUID-000095,INV-627222,SO-792764,C0495,AHM001,2020-05-27,2020-07-11,2619560,732540.8000000002,3352100.8,Paid,False
INVUID-000096,INV-726985,SO-644397,C0432,HYD001,2022-03-07,2022-04-06,2175440,600939.2,2776379.2,Unpaid,False
INVUID-000097,INV-350134,SO-995721,C0315,AHM001,2022-09-17,2022-11-01,23910,5433.8,29343.8,Unpaid,False
INVUID-000098,INV-677165,SO-133793,C0221,DEL001,2023-04-17,2023-06-01,626800,162164.00000000003,788964.0,Paid,False
INVUID-000099,INV-619125,SO-513785,C0270,DEL001,2024-10-28,2024-11-27,786380,189598.4,975978.4,Paid,False
INVUID-000100,INV-953376,SO-887716,C0455,PUN001,2024-07-27,2024-08-26,4346550,1215009.0,5561559.0,Paid,False
INVUID-000101,INV-260722,SO-332156,C0033,CHN001,2020-03-23,2020-05-22,545550,145959.0,691509.0,Paid,False
INVUID-000102,INV-787139,SO-531777,C0078,HYD001,2022-09-03,2022-10-03,2750110,763424.8,3513534.8,Partially Paid,False
INVUID-000103,INV-898377,SO-437871,C0091,PUN001,2022-07-19,2022-09-02,1316390,367965.20000000007,1684355.2,Paid,False
INVUID-000104,INV-752600,SO-736045,C0139,AHM001,2020-08-17,2020-09-01,2572060,716765.8,3288825.8,Paid,False
INVUID-000105,INV-437984,SO-442942,C0297,CHN001,2019-11-12,2019-11-27,2618440,728634.2000000002,3347074.2,Partially Paid,False
INVUID-000106,INV-411163,SO-126876,C0022,CHN001,2019-05-14,2019-07-13,303010,77871.80000000002,380881.8000000001,Paid,False
INVUID-000107,INV-443757,SO-652697,C0485,PUN001,2019-03-07,2019-05-06,1644550,454944.00000000006,2099494.0,Paid,False
INVUID-000108,INV-586996,SO-192052,C0342,DEL001,2021-03-24,2021-05-08,28000,5040.0,33040.0,Partially Paid,False
INVUID-000109,INV-957703,SO-916406,C0226,AHM001,2024-07-11,2024-08-10,198960,54892.8,253852.8,Paid,False
INVUID-000110,INV-326761,SO-526833,C0359,HYD001,2022-04-18,2022-06-02,4167110,1162959.8000000005,5330069.8,Partially Paid,False
INVUID-000111,INV-120199,SO-994387,C0360,AHM001,2020-06-06,2020-07-21,3107300,870044.0000000001,3977344.0,Paid,False
INVUID-000112,INV-455926,SO-966787,C0409,PUN001,2022-10-04,2022-11-18,107380,28088.400000000005,135468.4,Partially Paid,False
INVUID-000113,INV-778889,SO-339874,C0103,KOL001,2023-07-13,2023-08-27,964790,256312.20000000004,1221102.2,Paid,False
INVUID-000114,INV-786715,SO-575988,C0121,PUN001,2020-08-11,2020-09-10,2742440,767759.2000000001,3510199.2,Paid,False
INVUID-000115,INV-693655,SO-819437,C0244,KOL001,2019-06-16,2019-08-15,1807760,494856.8000000001,2302616.8,Partially Paid,False
INVUID-000116,INV-717505,SO-425052,C0246,DEL001,2020-10-14,2020-11-13,1148200,321206.00000000006,1469406.0,Partially Paid,False
INVUID-000117,INV-489559,SO-347333,C0483,DEL001,2020-07-04,2020-08-03,3075590,854916.2000000001,3930506.2,Unpaid,False
INVUID-000118,INV-721046,SO-550189,C0107,DEL001,2019-01-28,2019-02-27,1631180,455362.4000000001,2086542.4,Paid,False
INVUID-000119,INV-350383,SO-467883,C0224,KOL001,2021-05-12,2021-07-11,1924670,538535.6000000001,2463205.6,Partially Paid,False
INVUID-000120,INV-172295,SO-777242,C0363,AHM001,2023-01-04,2023-02-03,2070260,572256.8,2642516.8,Unpaid,False
INVUID-000121,INV-650874,SO-444216,C0201,CHN001,2020-08-20,2020-09-04,359700,100716.0,460416.0,Paid,False
INVUID-000122,INV-949587,SO-894246,C0060,HYD001,2024-10-11,2024-12-10,318450,88541.0,406991.0,Partially Paid,False
INVUID-000123,INV-991036,SO-758861,C0323,AHM001,2021-11-20,2021-12-20,667440,185659.2,853099.2,Paid,False
INVUID-000124,INV-401121,SO-635831,C0437,HYD001,2022-12-07,2023-01-06,7250,1305.0,8555.0,Paid,False
INVUID-000125,INV-163013,SO-872605,C0492,HYD001,2024-11-07,2025-01-06,1375750,375265.00000000006,1751015.0,Paid,False
INVUID-000126,INV-163583,SO-362034,C0354,HYD001,2019-03-23,2019-04-22,467560,121955.80000000002,589515.8,Unpaid,False
INVUID-000127,INV-772342,SO-585430,C0397,AHM001,2019-02-24,2019-03-26,162630,33253.4,195883.4,Partially Paid,False
INVUID-000128,INV-527381,SO-744439,C0004,CHN001,2022-07-03,2022-08-02,1190300,331534.0,1521834.0,Unpaid,False
INVUID-000129,INV-276594,SO-347118,C0245,CHN001,2024-09-28,2024-10-28,1003740,276588.2,1280328.2,Partially Paid,False
INVUID-000130,INV-664392,SO-682670,C0377,CHN001,2024-12-19,2025-02-02,1642860,447889.8000000001,2090749.8,Unpaid,False
INVUID-000131,INV-442508,SO-147697,C0127,KOL001,2021-08-29,2021-10-13,477200,133616.00000000003,610816.0,Paid,False
INVUID-000132,INV-261967,SO-208829,C0064,KOL001,2024-10-27,2024-12-11,862820,239867.60000000003,1102687.6,Partially Paid,False
INVUID-000133,INV-708803,SO-847245,C0336,KOL001,2024-05-17,2024-06-01,1857220,508029.6,2365249.6,Paid,False
INVUID-000134,INV-232983,SO-909198,C0259,CHN001,2023-03-02,2023-03-17,1482520,411543.6,1894063.6,Unpaid,False
INVUID-000135,INV-357271,SO-662353,C0440,HYD001,2024-04-16,2024-05-16,277770,77703.6,355473.6,Paid,False
INVUID-000136,INV-973318,SO-190942,C0460,DEL001,2023-03-14,2023-05-13,2250900,630252.0,2881152.0,Partially Paid,False
INVUID-000137,INV-284451,SO-640770,C0445,KOL001,2023-08-22,2023-10-21,1181100,330708.00000000006,1511808.0,Paid,False
INVUID-000138,INV-606345,SO-464850,C0415,PUN001,2020-07-02,2020-08-01,2024160,566088.8000000002,2590248.8,Partially Paid,False
INVUID-000139,INV-419723,SO-658992,C0475,KOL001,2022-09-06,2022-10-21,3249700,906201.0,4155901.0,Partially Paid,False
INVUID-000140,INV-367357,SO-390263,C0046,AHM001,2022-02-15,2022-04-01,16100,2898.0,18998.0,Partially Paid,False
INVUID-000141,INV-389681,SO-102070,C0096,CHN001,2019-01-20,2019-02-04,409550,112949.0,522499.0,Paid,False
INVUID-000142,INV-616489,SO-435701,C0236,KOL001,2022-12-08,2022-12-23,700600,196168.00000000003,896768.0,Paid,False
INVUID-000143,INV-630691,SO-365432,C0403,KOL001,2021-04-26,2021-05-26,915080,235539.4,1150619.4,Partially Paid,False
INVUID-000144,INV-716228,SO-837858,C0500,KOL001,2024-05-04,2024-06-03,123540,34157.2,157697.2,Paid,False
INVUID-000145,INV-878499,SO-366079,C0367,CHN001,2020-01-14,2020-03-14,868550,231959.00000000003,1100509.0,Unpaid,False
INVUID-000146,INV-899491,SO-308599,C0088,PUN001,2022-09-21,2022-11-05,1790100,495358.00000000006,2285458.0,Paid,False
INVUID-000147,INV-327740,SO-230529,C0225,DEL001,2024-02-15,2024-03-16,2080810,577070.8,2657880.8,Partially Paid,False
INVUID-000148,INV-867649,SO-402648,C0037,PUN001,2024-07-04,2024-08-03,152100,42588.00000000001,194688.0,Paid,False
INVUID-000149,INV-612919,SO-918473,C0197,AHM001,2022-01-28,2022-03-14,620760,167576.80000000002,788336.8,Unpaid,False
INVUID-000150,INV-412834,SO-397073,C0348,DEL001,2019-09-01,2019-10-31,460810,126725.80000000002,587535.8,Paid,False
INVUID-000151,INV-346851,SO-171359,C0233,KOL001,2020-06-04,2020-07-19,837360,225149.8,1062509.8,Paid,False
INVUID-000152,INV-727878,SO-854086,C0003,DEL001,2020-11-22,2020-12-22,2162970,603514.6000000001,2766484.6,Paid,False
INVUID-000153,INV-889049,SO-829167,C0193,CHN001,2024-02-20,2024-03-21,742160,207618.8,949778.8,Partially Paid,False
INVUID-000154,INV-522975,SO-440914,C0430,KOL001,2024-04-26,2024-05-11,1099250,302135.00000000006,1401385.0,Paid,False
INVUID-000155,INV-123985,SO-462946,C0159,CHN001,2023-05-10,2023-06-24,1061370,275561.6,1336931.6,Paid,False
INVUID-000156,INV-377481,SO-401583,C0398,HYD001,2024-09-10,2024-10-10,158900,28602.0,187502.0,Paid,False
INVUID-000157,INV-517150,SO-808201,C0175,KOL001,2019-09-24,2019-10-24,80550,22554.0,103104.0,Unpaid,False
INVUID-000158,INV-197644,SO-602597,C0285,PUN001,2021-04-29,2021-05-14,1214450,331681.0,1546131.0,Paid,False
INVUID-000159,INV-761932,SO-758058,C0012,CHN001,2020-08-17,2020-09-16,122350,22023.0,144373.0,Paid,False
INVUID-000160,INV-334241,SO-171543,C0062,HYD001,2019-11-21,2020-01-20,604700,161066.00000000003,765766.0,Paid,False
INVUID-000161,INV-524826,SO-917897,C0375,PUN001,2022-07-13,2022-09-11,367270,94008.6,461278.6,Partially Paid,False
INVUID-000162,INV-123850,SO-590650,C0379,CHN001,2022-07-03,2022-08-02,1728640,473505.20000000007,2202145.2,Partially Paid,False
INVUID-000163,INV-221398,SO-533108,C0005,AHM001,2019-03-26,2019-04-25,1481610,406344.8000000001,1887954.8,Paid,False
INVUID-000164,INV-895599,SO-640431,C0365,KOL001,2023-03-15,2023-05-14,2314000,644060.0000000001,2958060.0,Partially Paid,False
INVUID-000165,INV-985430,SO-645967,C0065,AHM001,2024-03-04,2024-03-19,1450640,405135.20000000007,1855775.2,Paid,False
INVUID-000166,INV-261578,SO-184070,C0311,DEL001,2019-07-18,2019-09-01,3463260,968756.8000000002,4432016.8,Partially Paid,False
INVUID-000167,INV-486262,SO-850760,C0499,PUN001,2024-03-31,2024-04-30,999910,265373.80000000005,1265283.8,Partially Paid,False
INVUID-000168,INV-339583,SO-741015,C0028,PUN001,2020-08-25,2020-10-09,711940,197854.2,909794.2,Paid,False
INVUID-000169,INV-134878,SO-382072,C0089,AHM001,2021-12-28,2022-01-27,92500,25610.000000000004,118110.0,Partially Paid,False
INVUID-000170,INV-807898,SO-843183,C0472,CHN001,2020-03-18,2020-05-02,1513210,420667.8000000001,1933877.8,Unpaid,False
INVUID-000171,INV-153975,SO-775978,C0382,HYD001,2023-04-17,2023-05-17,13680,2462.4,16142.4,Paid,False
INVUID-000172,INV-671462,SO-398968,C0215,CHN001,2024-12-27,2025-01-11,1273370,342616.60000000003,1615986.6,Paid,False
INVUID-000173,INV-806455,SO-130373,C0401,DEL001,2023-02-14,2023-04-15,1943060,517610.8000000001,2460670.8,Paid,False
INVUID-000174,INV-906166,SO-602996,C0393,KOL001,2021-04-29,2021-05-14,703400,196952.00000000003,900352.0,Paid,False
INVUID-000175,INV-986320,SO-714774,C0248,PUN001,2022-10-23,2022-11-22,1781770,485368.6000000001,2267138.6,Paid,False
INVUID-000176,INV-231120,SO-945501,C0390,DEL001,2021-07-01,2021-07-31,2135310,593030.8,2728340.8,Paid,False
INVUID-000177,INV-483476,SO-543216,C0402,HYD001,2020-11-24,2020-12-09,1979880,534753.4,2514633.4,Paid,False
INVUID-000178,INV-624348,SO-125836,C0221,DEL001,2021-07-04,2021-08-18,1613880,435418.4,2049298.4,Unpaid,False
INVUID-000179,INV-902673,SO-203868,C0049,KOL001,2021-08-16,2021-08-31,2938120,817346.6000000001,3755466.6,Paid,False
INVUID-000180,INV-392349,SO-608240,C0120,HYD001,2021-04-14,2021-05-14,1361100,379858.00000000006,1740958.0,Partially Paid,False
INVUID-000181,INV-187188,SO-513611,C0305,DEL001,2020-04-24,2020-05-09,61200,11016.0,72216.0,Unpaid,False
INVUID-000182,INV-178352,SO-828282,C0061,HYD001,2020-11-22,2021-01-06,559110,151304.80000000002,710414.8,Paid,False
INVUID-000183,INV-820114,SO-113739,C0435,CHN001,2024-05-20,2024-07-04,2097740,586143.2000000001,2683883.2,Paid,False
INVUID-000184,INV-230503,SO-323966,C0439,CHN001,2020-07-09,2020-08-08,1659880,456028.4,2115908.4,Paid,False
INVUID-000185,INV-931890,SO-592649,C0101,CHN001,2020-02-21,2020-04-21,431290,118347.2,549637.2,Partially Paid,False
INVUID-000186,INV-714237,SO-226326,C0163,AHM001,2024-07-06,2024-08-20,219880,56278.4,276158.4,Partially Paid,False
INVUID-000187,INV-263204,SO-335406,C0246,DEL001,2020-07-14,2020-08-13,3638050,1000939.0,4638989.0,Paid,False
INVUID-000188,INV-188578,SO-472661,C0450,KOL001,2022-10-17,2022-11-16,3967160,1087558.8,5054718.8,Partially Paid,False
INVUID-000189,INV-100160,SO-390855,C0221,DEL001,2022-07-30,2022-09-13,1250580,348589.4,1599169.4,Paid,False
INVUID-000190,INV-651562,SO-165767,C0341,DEL001,2021-11-10,2021-12-25,1535780,429090.4,1964870.4,Partially Paid,False
INVUID-000191,INV-626646,SO-393912,C0134,AHM001,2021-02-21,2021-04-22,1402450,388371.00000000006,1790821.0,Partially Paid,False
INVUID-000192,INV-610685,SO-582887,C0470,CHN001,2022-06-12,2022-07-27,1544300,427409.00000000006,1971709.0,Paid,False
INVUID-000193,INV-783790,SO-423263,C0021,HYD001,2019-06-18,2019-07-03,809480,208166.4,1017646.4,Paid,False
INVUID-000194,INV-969422,SO-507341,C0201,CHN001,2019-12-12,2019-12-27,14500,2610.0,17110.0,Paid,False
INVUID-000195,INV-924690,SO-836113,C0151,KOL001,2019-03-07,2019-04-21,164570,37532.600000000006,202102.6,Partially Paid,False
INVUID-000196,INV-252644,SO-131528,C0309,AHM001,2022-07-05,2022-08-19,731900,204932.0,936832.0,Paid,False
INVUID-000197,INV-629674,SO-123304,C0218,PUN001,2023-01-29,2023-02-28,3564700,997176.0,4561876.0,Partially Paid,False
INVUID-000198,INV-540122,SO-914003,C0250,PUN001,2022-01-18,2022-02-17,391330,107449.40000000002,498779.4,Paid,False
INVUID-000199,INV-211913,SO-645602,C0148,AHM001,2022-12-05,2022-12-20,2182140,602665.2000000001,2784805.2,Paid,False
INVUID-000200,INV-575200,SO-886732,C0242,CHN001,2024-01-10,2024-02-09,2424070,674977.6000000001,3099047.6,Unpaid,False
INVUID-000201,INV-459565,SO-289341,C0161,AHM001,2024-11-28,2025-01-12,1474840,384701.20000000007,1859541.2,Paid,False
INVUID-000202,INV-294135,SO-938790,C0075,HYD001,2019-09-29,2019-11-13,692110,183319.8,875429.8,Partially Paid,False
INVUID-000203,INV-172542,SO-606281,C0477,AHM001,2024-06-14,2024-06-29,931830,244769.4,1176599.4,Paid,False
INVUID-000204,INV-943372,SO-508013,C0351,CHN001,2020-05-23,2020-06-22,680460,187492.8,867952.8,Paid,False
INVUID-000205,INV-305012,SO-440369,C0267,HYD001,2019-10-10,2019-12-09,870460,230332.8,1100792.8,Paid,False
INVUID-000206,INV-224042,SO-737186,C0495,AHM001,2022-03-17,2022-05-01,684850,191758.00000000003,876608.0,Partially Paid,False
INVUID-000207,INV-335767,SO-985806,C0299,CHN001,2021-06-07,2021-07-07,656030,170115.40000000002,826145.4,Paid,False
INVUID-000208,INV-574854,SO-447301,C0392,KOL001,2021-08-13,2021-10-12,994140,267345.2,1261485.2,Paid,False
INVUID-000209,INV-453163,SO-922481,C0442,KOL001,2023-07-31,2023-08-15,2501600,690898.0000000001,3192498.0,Paid,False
INVUID-000210,INV-163610,SO-558310,C0149,AHM001,2024-05-27,2024-06-26,3017360,826824.8,3844184.8,Paid,False
